,label,i18nCode,count,fq,start_date,end_date,activity_span
0,"Beauglehole, A.C.","collector.Beauglehole, A.C.",90942,"collector:""Beauglehole, A.C.""",1865,2005,140
1,"Forster, P.I.","collector.Forster, P.I.",64649,"collector:""Forster, P.I.""",1955,2018,63
2,"Hyland, B.","collector.Hyland, B.",57265,"collector:""Hyland, B.""",1952,2008,56
3,"Latz, P.","collector.Latz, P.",51230,"collector:""Latz, P.""",1875,2019,144
4,"Streimann, H.","collector.Streimann, H.",45346,"collector:""Streimann, H.""",1896,2001,105
5,"Elix, J.A.","collector.Elix, J.A.",39702,"collector:""Elix, J.A.""",1878,2020,142
6,"Gray, B.","collector.Gray, B.",35130,"collector:""Gray, B.""",1956,2020,64
7,"Bean, A.R.","collector.Bean, A.R.",34015,"collector:""Bean, A.R.""",1965,2017,52
8,"Blake, S.T.","collector.Blake, S.T.",33031,"collector:""Blake, S.T.""",1846,1996,150
9,"Cleland, J.B.","collector.Cleland, J.B.",32242,"collector:""Cleland, J.B.""",1841,1996,155
10,"Brooker, M.I.H.","collector.Brooker, M.I.H.",30298,"collector:""Brooker, M.I.H.""",1890,2007,117
11,Anon.,collector.Anon.,29949,"collector:""Anon.""",1779,2014,235
12,"Symon, D.E.","collector.Symon, D.E.",28373,"collector:""Symon, D.E.""",1889,2011,122
13,"Cranfield, R.J.","collector.Cranfield, R.J.",28167,"collector:""Cranfield, R.J.""",1941,2015,74
14,"Stone, I.G.","collector.Stone, I.G.",25938,"collector:""Stone, I.G.""",1940,1999,59
15,"Coveny, R.G.","collector.Coveny, R.G.",25486,"collector:""Coveny, R.G.""",1909,2018,109
16,"Phillips, M.E.","collector.Phillips, M.E.",25427,"collector:""Phillips, M.E.""",1902,1995,93
17,"Batianoff, G.N.","collector.Batianoff, G.N.",25371,"collector:""Batianoff, G.N.""",1955,2008,53
18,"Moscal, A.","collector.Moscal, A.",25110,"collector:""Moscal, A.""",1968,2004,36
19,"Clarkson, J.R.","collector.Clarkson, J.R.",23612,"collector:""Clarkson, J.R.""",1930,2012,82
20,"Jones, D.L.","collector.Jones, D.L.",22353,"collector:""Jones, D.L.""",1941,2017,76
21,"Willis, J.H.","collector.Willis, J.H.",21961,"collector:""Willis, J.H.""",1885,1996,111
22,"George, A.S.","collector.George, A.S.",21649,"collector:""George, A.S.""",1898,2016,118
23,"McDonald, K.R.","collector.McDonald, K.R.",19822,"collector:""McDonald, K.R.""",1971,2018,47
24,"Bates, R.J.","collector.Bates, R.J.",19514,"collector:""Bates, R.J.""",1918,2017,99
25,"Purdie, R.W.","collector.Purdie, R.W.",18743,"collector:""Purdie, R.W.""",1960,2019,59
26,"Ising, E.H.","collector.Ising, E.H.",18649,"collector:""Ising, E.H.""",1818,2000,182
27,"Keighery, G.J.","collector.Keighery, G.J.",18312,"collector:""Keighery, G.J.""",1908,2016,108
28,"Lazarides, M.","collector.Lazarides, M.",18170,"collector:""Lazarides, M.""",1935,1992,57
29,"Womersley, H.B.S.","collector.Womersley, H.B.S.",17909,"collector:""Womersley, H.B.S.""",1648,2007,359
30,"Crisp, M.D.","collector.Crisp, M.D.",17661,"collector:""Crisp, M.D.""",1876,2018,142
31,"Kantvilas, G.","collector.Kantvilas, G.",17621,"collector:""Kantvilas, G.""",1963,2020,57
32,"Whinray, J.S.","collector.Whinray, J.S.",17414,"collector:""Whinray, J.S.""",1883,2017,134
33,"Buchanan, A.M.","collector.Buchanan, A.M.",17177,"collector:""Buchanan, A.M.""",1966,2019,53
34,"Hosking, J.R.","collector.Hosking, J.R.",16622,"collector:""Hosking, J.R.""",1966,2018,52
35,"Telford, I.R.","collector.Telford, I.R.",16539,"collector:""Telford, I.R.""",1909,2018,109
36,"Mueller, F.","collector.Mueller, F.",16407,"collector:""Mueller, F.""",1803,1969,166
37,"Chippendale, G.","collector.Chippendale, G.",15753,"collector:""Chippendale, G.""",1900,1998,98
38,"Albrecht, D.","collector.Albrecht, D.",15556,"collector:""Albrecht, D.""",1982,2019,37
39,"Gardner, C.A.","collector.Gardner, C.A.",15039,"collector:""Gardner, C.A.""",1898,2008,110
40,"Eichler, Hj.","collector.Eichler, Hj.",15014,"collector:""Eichler, Hj.""",1863,1993,130
41,"Spooner, A.G.","collector.Spooner, A.G.",14908,"collector:""Spooner, A.G.""",1919,1998,79
42,"Watts, W.W.","collector.Watts, W.W.",14790,"collector:""Watts, W.W.""",1877,2004,127
43,"Cowie, I.","collector.Cowie, I.",14584,"collector:""Cowie, I.""",1966,2020,54
44,"Williams, J.B.","collector.Williams, J.B.",14534,"collector:""Williams, J.B.""",1896,2014,118
45,"Canning, E.M.","collector.Canning, E.M.",14214,"collector:""Canning, E.M.""",1950,2010,60
46,"Constable, E.F.","collector.Constable, E.F.",14027,"collector:""Constable, E.F.""",1848,2008,160
47,"Wilson, K.L.","collector.Wilson, K.L.",13831,"collector:""Wilson, K.L.""",1926,2019,93
48,"White, C.T.","collector.White, C.T.",13698,"collector:""White, C.T.""",1904,2012,108
49,"Davis, R.","collector.Davis, R.",13265,"collector:""Davis, R.""",1911,2018,107
