,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
0,"Beauglehole, A.C.",90942,1865.0,2005.0,140.0,"Beauglehole, A.C.","Beauglehole, A.C.",1.0,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,1920.0,2002.0,,,http://www.wikidata.org/wiki/Q16744919,,,,https://bloodhound-tracker.net/Q16744919,http://www.eoas.info/biogs/P000214b,
1,"Forster, P.I.",64649,1955.0,2018.0,63.0,"Forster, P.I.","Forster, P.I.",1.0,1.0,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster,Forster,P.I.,"Forster, P.I.",,,,,18907-1,P.I.Forst.,,,1961.0,,,,http://www.wikidata.org/wiki/Q9057027,,,https://www.ipni.org/a/18907-1,,,
2,"Hyland, B.",57265,1952.0,2008.0,56.0,"Hyland, B.","Hyland, B.",1.0,1.0,http://www.wikidata.org/entity/Q4893242,Bernard Hyland,Hyland,B.,"Hyland, B.",,,,,4262-1,B.Hyland,,,1937.0,,,,http://www.wikidata.org/wiki/Q4893242,,,https://www.ipni.org/a/4262-1,,,
4,"Streimann, H.",45346,1896.0,2001.0,105.0,"Streimann, H.","Streimann, H.",1.0,1.0,http://www.wikidata.org/entity/Q21339679,Heinar Streimann,Streimann,H.,"Streimann, H.",,69178760,0000 0001 1573 7118,2053,15669-1,Streimann,,P005606b,1938.0,2001.0,,,http://www.wikidata.org/wiki/Q21339679,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2053,https://www.ipni.org/a/15669-1,,http://www.eoas.info/biogs/P005606b,
5,"Elix, J.A.",39702,1878.0,2020.0,142.0,"Elix, J.A.","Elix, J.A.",1.0,1.0,http://www.wikidata.org/entity/Q21339171,John Alan Elix,Elix,J.A.,"Elix, J.A.",,5178780,0000 0000 8084 828X,93027.0,18445-1,Elix,,P005725b,1941.0,,,,http://www.wikidata.org/wiki/Q21339171,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93027,https://www.ipni.org/a/18445-1,,http://www.eoas.info/biogs/P005725b,
9,"Blake, S.T.",33031,1846.0,1996.0,150.0,"Blake, S.T.","Blake, S.T.",1.0,1.0,http://www.wikidata.org/entity/Q2984580,Stanley Thatcher Blake,Blake,S.T.,"Blake, S.T.",,304022808,0000 0000 6521 9151,13863.0,838-1,S.T.Blake,,P001391b,1910.0,1973.0,,,http://www.wikidata.org/wiki/Q2984580,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13863,https://www.ipni.org/a/838-1,,http://www.eoas.info/biogs/P001391b,
10,"Cleland, J.B.",32242,1841.0,1996.0,155.0,"Cleland, J.B.","Cleland, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q4223546,John Burton Cleland,Cleland,J.B.,"Cleland, J.B.",,77785771,0000 0000 8271 8227,8608.0,17304-1,Cleland,,P000313b,1878.0,1971.0,,,http://www.wikidata.org/wiki/Q4223546,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8608,https://www.ipni.org/a/17304-1,,http://www.eoas.info/biogs/P000313b,http://adb.anu.edu.au/biography/cleland-sir-john-burton-5679
13,"Symon, D.E.",28373,1889.0,2011.0,122.0,"Symon, D.E.","Symon, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q5799961,David Eric Symon,Symon,D.E.,"Symon, D.E.",,58031223,0000 0000 2530 6998,49358,10358-1,Symon,,P006590b,1920.0,2011.0,,,http://www.wikidata.org/wiki/Q5799961,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=49358,https://www.ipni.org/a/10358-1,,http://www.eoas.info/biogs/P006590b,
14,"Cranfield, R.J.",28167,1941.0,2015.0,74.0,"Cranfield, R.J.","Cranfield, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q19263359,Raymond Jeffrey Cranfield,Cranfield,R.J.,"Cranfield, R.J.",,,,,36616-1,Cranfield,,,1947.0,,,,http://www.wikidata.org/wiki/Q19263359,,,https://www.ipni.org/a/36616-1,,,
15,"Stone, I.G.",25938,1940.0,1999.0,59.0,"Stone, I.G.","Stone, I.G.",1.0,1.0,http://www.wikidata.org/entity/Q6000720,Ilma Grace Stone,Stone,I.G.,"Stone, I.G.",,163909337,0000 0001 1247 4965,40174,27255-1,I.G.Stone,,,1913.0,2001.0,,,http://www.wikidata.org/wiki/Q6000720,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40174,https://www.ipni.org/a/27255-1,,,
20,"Clarkson, J.R.",23612,1930.0,2012.0,82.0,"Clarkson, J.R.","Clarkson, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q21392436,John Richard Clarkson,Clarkson,J.R.,"Clarkson, J.R.",,,,93047,14650-1,J.R.Clarkson,,,1950.0,,,,http://www.wikidata.org/wiki/Q21392436,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=93047,https://www.ipni.org/a/14650-1,,,
21,"Jones, D.L.",22353,1941.0,2017.0,76.0,"Jones, D.L.","Jones, D.L.",1.0,1.0,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones,Jones,D.L.,"Jones, D.L.",,34558570,0000 0001 1053 0310,17797.0,4531-1,D.L.Jones,,,1944.0,,,,http://www.wikidata.org/wiki/Q1175070,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17797,https://www.ipni.org/a/4531-1,,,
26,"Bates, R.J.",19514,1918.0,2017.0,99.0,"Bates, R.J.","Bates, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q6109468,Robert J. Bates,Bates,R.J.,"Bates, R.J.",,,,65346,13250-1,R.J.Bates,,,1946.0,,,,http://www.wikidata.org/wiki/Q6109468,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=65346,https://www.ipni.org/a/13250-1,,,
28,"Ising, E.H.",18649,1818.0,2000.0,182.0,"Ising, E.H.","Ising, E.H.",1.0,1.0,http://www.wikidata.org/entity/Q21339865,Ernest Horace Ising,Ising,E.H.,"Ising, E.H.",,,,69290,4321-1,Ising,,,1884.0,1973.0,,,http://www.wikidata.org/wiki/Q21339865,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=69290,https://www.ipni.org/a/4321-1,,,
29,"Keighery, G.J.",18312,1908.0,2016.0,108.0,"Keighery, G.J.","Keighery, G.J.",1.0,1.0,http://www.wikidata.org/entity/Q5885622,Gregory John Keighery,Keighery,G.J.,"Keighery, G.J.",,273450841,,7271,12184-1,Keighery,,,1950.0,,,,http://www.wikidata.org/wiki/Q5885622,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=7271,https://www.ipni.org/a/12184-1,,,
30,"Lazarides, M.",18170,1935.0,1992.0,57.0,"Lazarides, M.","Lazarides, M.",1.0,1.0,http://www.wikidata.org/entity/Q6012831,Michael Lazarides,Lazarides,M.,"Lazarides, M.",,,,38062,5361-1,Lazarides,Q6012831,P005675b,1928.0,2011.0,,,http://www.wikidata.org/wiki/Q6012831,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38062,https://www.ipni.org/a/5361-1,https://bloodhound-tracker.net/Q6012831,http://www.eoas.info/biogs/P005675b,
31,"Womersley, H.B.S.",17909,1648.0,2007.0,359.0,"Womersley, H.B.S.","Womersley, H.B.S.",1.0,1.0,http://www.wikidata.org/entity/Q21338083,Hugh Brian Spencer Womersley,Womersley,H.B.S.,"Womersley, H.B.S.",,119086888,0000 0000 8334 2006,70040.0,31820-1,Womersley,,P003504b,1922.0,2011.0,,,http://www.wikidata.org/wiki/Q21338083,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70040,https://www.ipni.org/a/31820-1,,http://www.eoas.info/biogs/P003504b,
33,"Kantvilas, G.",17621,1963.0,2020.0,57.0,"Kantvilas, G.","Kantvilas, G.",1.0,1.0,http://www.wikidata.org/entity/Q18986051,Gintaras Kantvilas,Kantvilas,G.,"Kantvilas, G.",0000-0002-3788-4562,71641994,,32387.0,21187-1,Kantvilas,,,1956.0,,,,http://www.wikidata.org/wiki/Q18986051,https://orcid.org/0000-0002-3788-4562,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=32387,https://www.ipni.org/a/21187-1,,,
37,"Hosking, J.R.",16622,1966.0,2018.0,52.0,"Hosking, J.R.","Hosking, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q21516084,John Robert Hosking,Hosking,J.R.,"Hosking, J.R.",,,,,39283-1,Hosking,,,1952.0,,,,http://www.wikidata.org/wiki/Q21516084,,,https://www.ipni.org/a/39283-1,,,
42,"Gardner, C.A.",15039,1898.0,2008.0,110.0,"Gardner, C.A.","Gardner, C.A.",1.0,1.0,http://www.wikidata.org/entity/Q2067524,Charles Austin Gardner,Gardner,C.A.,"Gardner, C.A.",,1379904,0000 0000 8191 8198,47851.0,3025-1,C.A.Gardner,Q2067524,P000431b,1896.0,1970.0,,,http://www.wikidata.org/wiki/Q2067524,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=47851,https://www.ipni.org/a/3025-1,https://bloodhound-tracker.net/Q2067524,http://www.eoas.info/biogs/P000431b,http://adb.anu.edu.au/biography/gardner-charles-austin-10275
43,"Eichler, Hj.",15014,1863.0,1993.0,130.0,"Eichler, Hj.","Eichler, H.",1.0,1.0,http://www.wikidata.org/entity/Q4530123,Hansjörg Eichler,Eichler,H.,"Eichler, H.",,32459507,0000 0000 6318 0476,111.0,2489-1,H.Eichler,Q4530123,P002340b,1916.0,1992.0,,,http://www.wikidata.org/wiki/Q4530123,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=111,https://www.ipni.org/a/2489-1,https://bloodhound-tracker.net/Q4530123,http://www.eoas.info/biogs/P002340b,
49,"Williams, J.B.",14534,1896.0,2014.0,118.0,"Williams, J.B.","Williams, J.B.",1.0,1.0,http://www.wikidata.org/entity/Q5665348,John Beaumont Williams,Williams,J.B.,"Williams, J.B.",,91430974,0000 0000 7331 2313,,28789-1,J.B.Williams,,,1932.0,2005.0,,,http://www.wikidata.org/wiki/Q5665348,,,https://www.ipni.org/a/28789-1,,,
