,label,i18nCode,count,fq,start_date,end_date,activity_span,index,name,matched_name,distance,item_count,items,item_labels
3,"Forster, P.I.","collector.Forster, P.I.",64649,"collector:""Forster, P.I.""",1955.0,2018.0,63.0,511,"Forster, P.I.","Forster, P.I.",0.0,1,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster
4,"Hyland, B.","collector.Hyland, B.",57265,"collector:""Hyland, B.""",1952.0,2008.0,56.0,730,"Hyland, B.","Hyland, B.",0.0,1,http://www.wikidata.org/entity/Q4893242,Bernard Hyland
6,"Latz, P.K.","collector.Latz, P.K.",13146,"collector:""Latz, P.K.""",1967.0,2016.0,49.0,357,"Latz, P.K.","Latz, P.K.",0.0,1,http://www.wikidata.org/entity/Q21518413,Peter K. Latz
7,"Streimann, H.","collector.Streimann, H.",45346,"collector:""Streimann, H.""",1896.0,2001.0,105.0,43,"Streimann, H.","Streimann, H.",0.0,1,http://www.wikidata.org/entity/Q21339679,Heinar Streimann
8,"Elix, J.A.","collector.Elix, J.A.",39702,"collector:""Elix, J.A.""",1878.0,2020.0,142.0,959,"Elix, J.A.","Elix, J.A.",0.0,1,http://www.wikidata.org/entity/Q21339171,John Alan Elix
11,"Blake, S.T.","collector.Blake, S.T.",33031,"collector:""Blake, S.T.""",1846.0,1996.0,150.0,519,"Blake, S.T.","Blake, S.T.",0.0,1,http://www.wikidata.org/entity/Q2984580,Stanley Thatcher Blake
13,"Cleland, J.B.","collector.Cleland, J.B.",32242,"collector:""Cleland, J.B.""",1841.0,1996.0,155.0,128,"Cleland, J.B.","Cleland, J.B.",0.0,1,http://www.wikidata.org/entity/Q4223546,John Burton Cleland
19,"Symon, D.E.","collector.Symon, D.E.",28373,"collector:""Symon, D.E.""",1889.0,2011.0,122.0,184,"Symon, D.E.","Symon, D.E.",0.0,1,http://www.wikidata.org/entity/Q5799961,David Eric Symon
23,"Cranfield, R.J.","collector.Cranfield, R.J.",28167,"collector:""Cranfield, R.J.""",1941.0,2015.0,74.0,487,"Cranfield, R.J.","Cranfield, R.J.",0.0,1,http://www.wikidata.org/entity/Q19263359,Raymond Jeffrey Cranfield
26,"Stone, I.G.","collector.Stone, I.G.",25938,"collector:""Stone, I.G.""",1940.0,1999.0,59.0,424,"Stone, I.G.","Stone, I.G.",0.0,1,http://www.wikidata.org/entity/Q6000720,Ilma Grace Stone
33,"Clarkson, J.R.","collector.Clarkson, J.R.",23612,"collector:""Clarkson, J.R.""",1930.0,2012.0,82.0,187,"Clarkson, J.R.","Clarkson, J.R.",0.0,1,http://www.wikidata.org/entity/Q21392436,John Richard Clarkson
35,"Jones, D.L.","collector.Jones, D.L.",22353,"collector:""Jones, D.L.""",1941.0,2017.0,76.0,596,"Jones, D.L.","Jones, D.L.",0.0,1,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones
38,"George, A.","collector.George, A.",740,"collector:""George, A.""",1907.0,2007.0,100.0,794,"George, A.","George, A.",0.0,1,http://www.wikidata.org/entity/Q2702267,Alex George
