,label,count,start_date,end_date,activity_span,name,matched_name,distance,item_count,items,item_labels
993,"Forrest, A.",687,1818.0,1994.0,176.0,"Forrest, A.","Forrest, A.",0.0,1,http://www.wikidata.org/entity/Q706734,Alexander Forrest
991,"Hamilton, A.G.",692,1882.0,1992.0,110.0,"Hamilton, A.G.","Hamilton, A.G.",0.0,1,http://www.wikidata.org/entity/Q21514592,Alexandra Greenlaw Hamilton
989,"Bayer, R.J.",693,1944.0,2009.0,65.0,"Bayer, R.J.","Bayer, R.J.",0.0,1,http://www.wikidata.org/entity/Q7291564,Randall James Bayer
990,"Catcheside, D.G.",693,1951.0,1991.0,40.0,"Catcheside, D.G.","Catcheside, D.G.",0.0,1,http://www.wikidata.org/entity/Q21165808,David Guthrie Catcheside
988,"Wright, G.T.",694,1998.0,2019.0,21.0,"Wright, G.T.","Wright, G.T.",0.0,1,http://www.wikidata.org/entity/Q59606231,Genevieve T. Wright
986,"Gill, W.",696,1888.0,2018.0,130.0,"Gill, W.","Gill, W.",0.0,1,http://www.wikidata.org/entity/Q53836524,Walter Gill
985,"Hussey, J.L.",697,1891.0,1973.0,82.0,"Hussey, J.L.","Hussey, J.L.",0.0,1,http://www.wikidata.org/entity/Q66763410,Jessie Louisa Hussey
977,"Barber, H.N.",713,1912.0,1970.0,58.0,"Barber, H.N.","Barber, H.N.",0.0,1,http://www.wikidata.org/entity/Q21165067,Horace Newton Barber
978,"Hall, T.",713,1909.0,2014.0,105.0,"Hall, T.","Hall, T.",0.0,1,http://www.wikidata.org/entity/Q33675022,Tony Hall
976,"Welch, M.B.",717,1896.0,2001.0,105.0,"Welch, M.B.","Welch, M.B.",0.0,1,http://www.wikidata.org/entity/Q21340713,Marcus Baldwin Welch
975,"Scott, G.A.M.",721,1962.0,1999.0,37.0,"Scott, G.A.M.","Scott, G.A.M.",0.0,1,http://www.wikidata.org/entity/Q21608563,George Anderson Macdonald Scott
972,"Audas, J.W.C.",722,1890.0,1935.0,45.0,"Audas, J.W.C.","Audas, J.W.C.",0.0,1,http://www.wikidata.org/entity/Q21505426,James Wales Claredon Audas
971,"Sands, M.J.S.",723,1975.0,2008.0,33.0,"Sands, M.J.S.","Sands, M.J.S.",0.0,1,http://www.wikidata.org/entity/Q21338725,Martin Jonathan Southgate Sands
968,"Wilson, T.C.",733,2006.0,2020.0,14.0,"Wilson, T.C.","Wilson, T.C.",0.0,1,http://www.wikidata.org/entity/Q33699117,Trevor C. Wilson
