,label,count,start_date,end_date,activity_span,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
0,"Beauglehole, A.C.",90942,1865.0,2005.0,140.0,"Beauglehole, A.C.","Beauglehole, A.C.",0.0,1,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,1920.0,2002.0,,
1,"Forster, P.I.",64649,1955.0,2018.0,63.0,"Forster, P.I.","Forster, P.I.",0.0,1,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster,Forster,P.I.,"Forster, P.I.",,,,,18907-1,P.I.Forst.,1961.0,,,
2,"Hyland, B.",57265,1952.0,2008.0,56.0,"Hyland, B.","Hyland, B.",0.0,1,http://www.wikidata.org/entity/Q4893242,Bernard Hyland,Hyland,B.,"Hyland, B.",,,,,4262-1,B.Hyland,1937.0,,,
3,"Streimann, H.",45346,1896.0,2001.0,105.0,"Streimann, H.","Streimann, H.",0.0,1,http://www.wikidata.org/entity/Q21339679,Heinar Streimann,Streimann,H.,"Streimann, H.",,69178760,0000 0001 1573 7118,2053,15669-1,Streimann,1938.0,2001.0,,
4,"Elix, J.A.",39702,1878.0,2020.0,142.0,"Elix, J.A.","Elix, J.A.",0.0,1,http://www.wikidata.org/entity/Q21339171,John Alan Elix,Elix,J.A.,"Elix, J.A.",,5178780,0000 0000 8084 828X,93027.0,18445-1,Elix,1941.0,,,
5,"Blake, S.T.",33031,1846.0,1996.0,150.0,"Blake, S.T.","Blake, S.T.",0.0,1,http://www.wikidata.org/entity/Q2984580,Stanley Thatcher Blake,Blake,S.T.,"Blake, S.T.",,304022808,0000 0000 6521 9151,13863.0,838-1,S.T.Blake,1910.0,1973.0,,
6,"Cleland, J.B.",32242,1841.0,1996.0,155.0,"Cleland, J.B.","Cleland, J.B.",0.0,1,http://www.wikidata.org/entity/Q4223546,John Burton Cleland,Cleland,J.B.,"Cleland, J.B.",,77785771,0000 0000 8271 8227,8608.0,17304-1,Cleland,1878.0,1971.0,,
7,"Symon, D.E.",28373,1889.0,2011.0,122.0,"Symon, D.E.","Symon, D.E.",0.0,1,http://www.wikidata.org/entity/Q5799961,David Eric Symon,Symon,D.E.,"Symon, D.E.",,58031223,0000 0000 2530 6998,49358,10358-1,Symon,1920.0,2011.0,,
8,"Cranfield, R.J.",28167,1941.0,2015.0,74.0,"Cranfield, R.J.","Cranfield, R.J.",0.0,1,http://www.wikidata.org/entity/Q19263359,Raymond Jeffrey Cranfield,Cranfield,R.J.,"Cranfield, R.J.",,,,,36616-1,Cranfield,1947.0,,,
9,"Stone, I.G.",25938,1940.0,1999.0,59.0,"Stone, I.G.","Stone, I.G.",0.0,1,http://www.wikidata.org/entity/Q6000720,Ilma Grace Stone,Stone,I.G.,"Stone, I.G.",,163909337,0000 0001 1247 4965,40174,27255-1,I.G.Stone,1913.0,2001.0,,
10,"Clarkson, J.R.",23612,1930.0,2012.0,82.0,"Clarkson, J.R.","Clarkson, J.R.",0.0,1,http://www.wikidata.org/entity/Q21392436,John Richard Clarkson,Clarkson,J.R.,"Clarkson, J.R.",,,,93047,14650-1,J.R.Clarkson,1950.0,,,
11,"Jones, D.L.",22353,1941.0,2017.0,76.0,"Jones, D.L.","Jones, D.L.",0.0,1,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones,Jones,D.L.,"Jones, D.L.",,34558570,0000 0001 1053 0310,17797.0,4531-1,D.L.Jones,1944.0,,,
12,"Bates, R.J.",19514,1918.0,2017.0,99.0,"Bates, R.J.","Bates, R.J.",0.0,1,http://www.wikidata.org/entity/Q6109468,Robert J. Bates,Bates,R.J.,"Bates, R.J.",,,,65346,13250-1,R.J.Bates,1946.0,,,
13,"Ising, E.H.",18649,1818.0,2000.0,182.0,"Ising, E.H.","Ising, E.H.",0.0,1,http://www.wikidata.org/entity/Q21339865,Ernest Horace Ising,Ising,E.H.,"Ising, E.H.",,,,69290,4321-1,Ising,1884.0,1973.0,,
14,"Keighery, G.J.",18312,1908.0,2016.0,108.0,"Keighery, G.J.","Keighery, G.J.",0.0,1,http://www.wikidata.org/entity/Q5885622,Gregory John Keighery,Keighery,G.J.,"Keighery, G.J.",,273450841,,7271,12184-1,Keighery,1950.0,,,
