,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
2,PLZGE,Pilz G.E.,Pilz,George,E.,"Pilz, G.E.","Pilz, G.E.","Pilz, G.E.",1.0,1.0,http://www.wikidata.org/entity/Q21389330,George Edmund Pilz,Pilz,G.E.,"Pilz, G.E.",,,,33538,24871-1,Pilz,,,,1942.0,2017.0,,,http://www.wikidata.org/wiki/Q21389330,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=33538,https://www.ipni.org/a/24871-1,,,
8,D121,Debeaux O.,Debeaux,Jean,Odon,"Debeaux, J.O.","Debeaux, J.O.","Debeaux, J.O.",1.0,1.0,http://www.wikidata.org/entity/Q3173773,Jean Odon Debeaux,Debeaux,J.O.,"Debeaux, J.O.",,41829859,0000 0000 5488 1481,2705.0,2058-1,Debeaux,,,,1826.0,1910.0,,,http://www.wikidata.org/wiki/Q3173773,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=2705,https://www.ipni.org/a/2058-1,,,
21,MLLNG,Miller N.G.,Miller,Norton,George,"Miller, N.G.","Miller, N.G.","Miller, N.G.",1.0,1.0,http://www.wikidata.org/entity/Q21521514,Norton George Miller,Miller,N.G.,"Miller, N.G.",,18763999,,72759,23405-1,N.G.Mill.,,,,1942.0,2011.0,,,http://www.wikidata.org/wiki/Q21521514,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72759,https://www.ipni.org/a/23405-1,,,
24,MEIKR,Meikle R.D.,Meikle,Robert,Desmond,"Meikle, R.D.","Meikle, R.D.","Meikle, R.D.",1.0,1.0,http://www.wikidata.org/entity/Q1309063,Robert Desmond Meikle,Meikle,R.D.,"Meikle, R.D.",,51491473,0000 0001 1641 1689,20194.0,6316-1,Meikle,,,,1923.0,,,,http://www.wikidata.org/wiki/Q1309063,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20194,https://www.ipni.org/a/6316-1,,,
46,L952,Laurer J.F.,Laurer,Johann,Friedrich,"Laurer, J.F.","Laurer, J.F.","Laurer, J.F.",1.0,1.0,http://www.wikidata.org/entity/Q21341241,Johann Friedrich Laurer,Laurer,J.F.,"Laurer, J.F.",,42619585,0000 0001 0966 6683,11656,5328-1,Laurer,,,,1798.0,1873.0,,,http://www.wikidata.org/wiki/Q21341241,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11656,https://www.ipni.org/a/5328-1,,,
68,MACDW,MacDonald W.,MacDonald,W.,,"MacDonald, W.n.","MacDonald, W.n.","Macdonald, W.N.",1.0,1.0,http://www.wikidata.org/entity/Q21539558,William Neil Macdonald,Macdonald,W.N.,"Macdonald, W.N.",,,,,,,,,macdonald-william-neil-4431,1860.0,1910.0,,,http://www.wikidata.org/wiki/Q21539558,,,,,,http://adb.anu.edu.au/biography/macdonald-william-neil-4431
73,BLSAA,Balsinhas A.A.,Balsinhas,Aurélio,Antero,"Balsinhas, A.A.","Balsinhas, A.A.","Balsinhas, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q66057650,Aurélio Antero Balsinhas,Balsinhas,A.A.,"Balsinhas, A.A.",,,,38761,,,,,,1928.0,,,,http://www.wikidata.org/wiki/Q66057650,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38761,,,,
79,JACON,Jacobsen Niels,Jacobsen,Niels,Henning Günther,"Jacobsen, N.H.G.","Jacobsen, N.H.G.","Jacobsen, N.H.G.",1.0,1.0,http://www.wikidata.org/entity/Q21390810,Niels Henning Günther Jacobsen,Jacobsen,N.H.G.,"Jacobsen, N.H.G.",,,,,14409-1,N.H.G.Jacobsen,,,,1941.0,,,,http://www.wikidata.org/wiki/Q21390810,,,https://www.ipni.org/a/14409-1,,,
95,B113,Brenckle J.F.,Brenckle,Jacob,Frederic,"Brenckle, J.F.","Brenckle, J.F.","Brenckle, J.F.",1.0,1.0,http://www.wikidata.org/entity/Q21506463,Jacob Frederic(k) Brenckle,Brenckle,J.F.,"Brenckle, J.F.",,,,1856,1119-1,Brenckle,,,,1875.0,1958.0,,,http://www.wikidata.org/wiki/Q21506463,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1856,https://www.ipni.org/a/1119-1,,,
100,ROBGE,Roberty G.E.,Roberty,Guy,Edouard,"Roberty, G.E.","Roberty, G.E.","Roberty, G.E.",1.0,1.0,http://www.wikidata.org/entity/Q3122109,Guy Edouard Roberty,Roberty,G.E.,"Roberty, G.E.",,75802463,0000 0000 3951 8385,5102.0,8449-1,Roberty,,,,1907.0,1971.0,,,http://www.wikidata.org/wiki/Q3122109,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=5102,https://www.ipni.org/a/8449-1,,,
104,S878,L.J. Sedgwick,Sedgwick,Leonard,John,"Sedgwick, L.J.","Sedgwick, L.J.","Sedgwick, L.J.",1.0,1.0,http://www.wikidata.org/entity/Q19001925,Leonard John Sedgwick,Sedgwick,L.J.,"Sedgwick, L.J.",,,,3683,12267-1,Sedgw.,,,,1883.0,1925.0,,,http://www.wikidata.org/wiki/Q19001925,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=3683,https://www.ipni.org/a/12267-1,,,
