,COLL_ID,NAME,LNAME,FNAME,MNAME,match_name,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
0,PLZGE,Pilz G.E.,Pilz,George,E.,"Pilz, G.E.","Pilz, G.E.","Pilz, G.E.",0.0,1,http://www.wikidata.org/entity/Q21389330,George Edmund Pilz,Pilz,G.E.,"Pilz, G.E.",,,,33538,24871-1,Pilz,,,1942.0,2017.0,,
1,MATHG,Mathieu G.,Mathieu,Guido,,"Mathieu, G.","Mathieu, G.","Mathieu, G.",0.0,1,http://www.wikidata.org/entity/Q26713973,Guido Mathieu,Mathieu,G.,"Mathieu, G.",,,,,20000068-1,G.Mathieu,,,,,,
2,D121,Debeaux O.,Debeaux,Jean,Odon,"Debeaux, J.O.","Debeaux, J.O.","Debeaux, J.O.",0.0,1,http://www.wikidata.org/entity/Q3173773,Jean Odon Debeaux,Debeaux,J.O.,"Debeaux, J.O.",,41829859,0000 0000 5488 1481,2705.0,2058-1,Debeaux,,,1826.0,1910.0,,
3,BEETA,Beetle A.A.,Beetle,A.A.,,"Beetle, A.A.","Beetle, A.A.","Beetle, A.A.",0.0,1,http://www.wikidata.org/entity/Q4706055,Alan Ackerman Beetle,Beetle,A.A.,"Beetle, A.A.",,8874713,0000 0000 2810 8487,47768.0,613-1,Beetle,,,1913.0,2003.0,,
4,S150,Schilberszky K.,Schilberszky,K.,,"Schilberszky, K.","Schilberszky, K.","Schilberszky, K.",0.0,1,http://www.wikidata.org/entity/Q21607955,Károly Schilberszky,Schilberszky,K.,"Schilberszky, K.",,,,22373,9079-1,Schilb.,,,1863.0,1935.0,,
5,D003,Decary R.,Decary,Raymond,,"Decary, R.","Decary, R.","Decary, R.",0.0,1,http://www.wikidata.org/entity/Q346745,Raymond Decary,Decary,R.,"Decary, R.",,32037879,0000 0001 0884 8653,36698.0,13940-1,Decary,,,1891.0,1973.0,,
6,GLLJH,Gillies J.,Gillies,John,,"Gillies, J.","Gillies, J.","Gillies, J.",0.0,1,http://www.wikidata.org/entity/Q15387,John Gillies,Gillies,J.,"Gillies, J.",,26912831,0000 0000 5104 3087,23642,19349-1,Gillies,,,1792.0,1834.0,,
7,MLLNG,Miller N.G.,Miller,Norton,George,"Miller, N.G.","Miller, N.G.","Miller, N.G.",0.0,1,http://www.wikidata.org/entity/Q21521514,Norton George Miller,Miller,N.G.,"Miller, N.G.",,18763999,,72759,23405-1,N.G.Mill.,,,1942.0,2011.0,,
8,MEIKR,Meikle R.D.,Meikle,Robert,Desmond,"Meikle, R.D.","Meikle, R.D.","Meikle, R.D.",0.0,1,http://www.wikidata.org/entity/Q1309063,Robert Desmond Meikle,Meikle,R.D.,"Meikle, R.D.",,51491473,0000 0001 1641 1689,20194.0,6316-1,Meikle,,,1923.0,,,
9,L952,Laurer J.F.,Laurer,Johann,Friedrich,"Laurer, J.F.","Laurer, J.F.","Laurer, J.F.",0.0,1,http://www.wikidata.org/entity/Q21341241,Johann Friedrich Laurer,Laurer,J.F.,"Laurer, J.F.",,42619585,0000 0001 0966 6683,11656,5328-1,Laurer,,,1798.0,1873.0,,
10,C027,Cheesman W.N.,Cheesman,William Norwood,,"Cheesman, W.N.","Cheesman, W.N.","Cheesman, W.N.",0.0,1,http://www.wikidata.org/entity/Q62086216,William Norwood Cheesman,Cheesman,W.N.,"Cheesman, W.N.",,,,8823,,,,,1847.0,1925.0,,
11,TORRJ,Torrey J.,Torrey,John,,"Torrey, J.","Torrey, J.","Torrey, J.",0.0,1,http://www.wikidata.org/entity/Q1346660,John Torrey,Torrey,J.,"Torrey, J.",,2586502,0000 0000 8350 6453,255.0,10754-1,Torr.,Q1346660,,1796.0,1873.0,,
12,BOLLG,Bolland G.,Bolland,G.,,"Bolland, G.","Bolland, G.","Bolland, G.",0.0,1,http://www.wikidata.org/entity/Q20978925,Gustav Bolland,Bolland,G.,"Bolland, G.",,133145067149866631054,,,,,,,1889.0,1978.0,,
13,OCHHL,Ochoterena-Booth H.,Ochoterena-Booth,Helga,,"Ochoterena-Booth, H.","Ochoterena-Booth, H.","Ochoterena-Booth, H.",0.0,1,http://www.wikidata.org/entity/Q19273011,Helga Ochoterena-Booth,Ochoterena-Booth,H.,"Ochoterena-Booth, H.",,,,,36923-1,Ochot.-Booth,,,1969.0,1999.0,,
14,L142,Lindberg S.O.,Lindberg,S.O.,,"Lindberg, S.O.","Lindberg, S.O.","Lindberg, S.O.",0.0,1,http://www.wikidata.org/entity/Q3302587,Sextus Otto Lindberg,Lindberg,S.O.,"Lindberg, S.O.",,22357560,0000 0001 2123 9350,1651.0,22368-1,Lindb.,,,1835.0,1889.0,,
15,DEYLM,Deyl M.,Deyl,Milós,,"Deyl, M.","Deyl, M.","Deyl, M.",0.0,1,http://www.wikidata.org/entity/Q6016606,Miloš Deyl,Deyl,M.,"Deyl, M.",,74263148,0000 0000 8394 4963,17524.0,2184-1,Deyl,Q6016606,,1906.0,1985.0,,
16,TUCKE,Tuckerman E.,Tuckerman,Edward,,"Tuckerman, E.","Tuckerman, E.","Tuckerman, E.",0.0,1,http://www.wikidata.org/entity/Q1293905,Edward Tuckerman,Tuckerman,E.,"Tuckerman, E.",,59861375,0000 0000 8139 6588,348.0,10891-1,Tuck.,Q1293905,,1817.0,1886.0,,
17,KNECM,Knecht M.,Knecht,M.,,"Knecht, M.","Knecht, M.","Knecht, M.",0.0,1,http://www.wikidata.org/entity/Q36628542,Marianne Knecht,Knecht,M.,"Knecht, M.",,,,,36795-1,Knecht,,,,1989.0,,
18,VICKJ,Vickery Joyce Winifred,Vickery,Joyce Winifred,,"Vickery, J.W.","Vickery, J.W.","Vickery, J.W.",0.0,1,http://www.wikidata.org/entity/Q6297664,Joyce Winifred Vickery,Vickery,J.W.,"Vickery, J.W.",,317277710,,27843.0,11165-1,Vickery,Q6297664,P002702b,1908.0,1979.0,,
19,BLSAA,Balsinhas A.A.,Balsinhas,Aurélio,Antero,"Balsinhas, A.A.","Balsinhas, A.A.","Balsinhas, A.A.",0.0,1,http://www.wikidata.org/entity/Q66057650,Aurélio Antero Balsinhas,Balsinhas,A.A.,"Balsinhas, A.A.",,,,38761,,,,,1928.0,,,
20,L078,Lehtola V.B.,Lehtola,V.B.,,"Lehtola, V.B.","Lehtola, V.B.","Lehtola, V.B.",0.0,1,http://www.wikidata.org/entity/Q36696562,V.B. Lehtola,Lehtola,V.B.,"Lehtola, V.B.",,,,36122,22207-1,Lehtola,,,,,,
21,UNDEL,Underwood L.M.,Underwood,L.M.,,"Underwood, L.M.","Underwood, L.M.","Underwood, L.M.",0.0,1,http://www.wikidata.org/entity/Q3038765,Lucien Marcus Underwood,Underwood,L.M.,"Underwood, L.M.",,61939325,0000 0000 9179 5961,456.0,10982-1,Underw.,Q3038765,,1853.0,1907.0,,
22,JACON,Jacobsen Niels,Jacobsen,Niels,Henning Günther,"Jacobsen, N.H.G.","Jacobsen, N.H.G.","Jacobsen, N.H.G.",0.0,1,http://www.wikidata.org/entity/Q21390810,Niels Henning Günther Jacobsen,Jacobsen,N.H.G.,"Jacobsen, N.H.G.",,,,,14409-1,N.H.G.Jacobsen,,,1941.0,,,
23,RICOE,Rico E.,Rico,E.,,"Rico, E.","Rico, E.","Rico, E.",0.0,1,http://www.wikidata.org/entity/Q21341364,Enrique Rico,Rico,E.,"Rico, E.",,1557170,,,25578-1,E.Rico,,,1953.0,,,
24,DFFLS,Duffort L.,Duffort,Louis,,"Duffort, L.","Duffort, L.","Duffort, L.",0.0,1,http://www.wikidata.org/entity/Q21391810,Louis Duffort,Duffort,L.,"Duffort, L.",,,,38740,2355-1,Duffort,,,1846.0,1923.0,,
25,P204,Pop I.,Pop,Ioan,,"Pop, I.","Pop, I.","Pop, I.",0.0,1,http://www.wikidata.org/entity/Q19001522,Ioan Pop,Pop,I.,"Pop, I.",,,,,7840-1,I.Pop,,,1922.0,,,
26,B113,Brenckle J.F.,Brenckle,Jacob,Frederic,"Brenckle, J.F.","Brenckle, J.F.","Brenckle, J.F.",0.0,1,http://www.wikidata.org/entity/Q21506463,Jacob Frederic(k) Brenckle,Brenckle,J.F.,"Brenckle, J.F.",,,,1856,1119-1,Brenckle,,,1875.0,1958.0,,
27,H391,Hauck F.,Hauck,F.,,"Hauck, F.","Hauck, F.","Hauck, F.",0.0,1,http://www.wikidata.org/entity/Q21515580,Ferdinand Hauck,Hauck,F.,"Hauck, F.",,30445021,0000 0000 8110 2121,2698,3728-1,Hauck,,,1845.0,1889.0,,
28,ROBGE,Roberty G.E.,Roberty,Guy,Edouard,"Roberty, G.E.","Roberty, G.E.","Roberty, G.E.",0.0,1,http://www.wikidata.org/entity/Q3122109,Guy Edouard Roberty,Roberty,G.E.,"Roberty, G.E.",,75802463,0000 0000 3951 8385,5102.0,8449-1,Roberty,,,1907.0,1971.0,,
29,RNDRT,Randriatafika F.,Randriatafika,Faly,,"Randriatafika, F.","Randriatafika, F.","Randriatafika, F.",0.0,1,http://www.wikidata.org/entity/Q26713789,Faly Randriatafika,Randriatafika,F.,"Randriatafika, F.",,,,,20019251-1,Randriat.,,,,,,
30,S878,L.J. Sedgwick,Sedgwick,Leonard,John,"Sedgwick, L.J.","Sedgwick, L.J.","Sedgwick, L.J.",0.0,1,http://www.wikidata.org/entity/Q19001925,Leonard John Sedgwick,Sedgwick,L.J.,"Sedgwick, L.J.",,,,3683,12267-1,Sedgw.,,,1883.0,1925.0,,
31,FINK,Fink B.,Fink,Bruce,,"Fink, B.","Fink, B.","Fink, B.",0.0,1,http://www.wikidata.org/entity/Q18631681,Bruce Fink,Fink,B.,"Fink, B.",,35241295,0000 0000 6318 2359,2871.0,18809-1,Fink,,,1861.0,1927.0,,
32,EGGEW,Eggeling W.J.,Eggeling,William J.,,"Eggeling, W.J.","Eggeling, W.J.","Eggeling, W.J.",0.0,1,http://www.wikidata.org/entity/Q15994422,William Julius Eggeling,Eggeling,W.J.,"Eggeling, W.J.",,,,46806,20012934-2,Eggeling,,,1909.0,1994.0,,
33,S015,Singer R.,Singer,Rolf,,"Singer, R.","Singer, R.","Singer, R.",0.0,1,http://www.wikidata.org/entity/Q64091,Rolf Singer,Singer,R.,"Singer, R.",,92597180,0000 0003 5535 7632,19208.0,9693-1,Singer,Q64091,,1906.0,1994.0,,
34,L201,Leresche L.,Leresche,Louis,François Jules Rodolphe,"Leresche, L.F.J.R.","Leresche, L.F.J.R.","Leresche, L.F.J.R.",0.0,1,http://www.wikidata.org/entity/Q4273123,Louis François Jules Rodolphe Leresche,Leresche,L.F.J.R.,"Leresche, L.F.J.R.",,,,48754.0,5496-1,Leresche,,,1808.0,1885.0,,
35,NITTA,Nitta A.,Nitta,A.,,"Nitta, A.","Nitta, A.","Nitta, A.",0.0,1,http://www.wikidata.org/entity/Q47123526,Aya Nitta,Nitta,A.,"Nitta, A.",,,,38650,20017438-1,Nitta,,,1964.0,,,
36,W061,Walter A.,Walter,A.,,"Walter, A.","Walter, A.","Walter, A.",0.0,1,http://www.wikidata.org/entity/Q55073992,Alfons Walter,Walter,A.,"Walter, A.",,,,,,,,,1925.0,1997.0,,
37,GUILJ1,Guillemin J.B.A.,Guillemin,Jean,Baptiste Antoine,"Guillemin, J.B.A.","Guillemin, J.B.A.","Guillemin, J.B.A.",0.0,1,http://www.wikidata.org/entity/Q532500,Jean Baptiste Antoine Guillemin,Guillemin,J.B.A.,"Guillemin, J.B.A.",,5695468,0000 0001 0776 5493,1652.0,3466-1,Guill.,,,1796.0,1842.0,,
38,BASSM,Bässler M.,Bässler,M.,,"Bässler, M.","Bässler, M.","Bässler, M.",0.0,1,http://www.wikidata.org/entity/Q13432785,Manfred Bässler,Bässler,M.,"Bässler, M.",,37071441,0000 0000 5303 7318,79289,384-1,Bässler,,,1935.0,,,
39,ARCHE,Archibald E.,Archibald,Eily,Edith Agnes,"Archibald, E.E.A.","Archibald, E.E.A.","Archibald, E.E.A.",0.0,1,http://www.wikidata.org/entity/Q13233413,Eily Edith Agnes Archibald,Archibald,E.E.A.,"Archibald, E.E.A.",,,,15268,255-1,Archibald,,,1914.0,2007.0,,
40,BOSJ,Bos J.J.,Bos,Jan,Justus,"Bos, J.J.","Bos, J.J.","Bos, J.J.",0.0,1,http://www.wikidata.org/entity/Q2007313,Jan Just Bos,Bos,J.J.,"Bos, J.J.",,164208142,0000 0001 1716 7323,3083.0,1003-1,Bos,,,1939.0,2003.0,,
41,FISHB,Fisher B.S.,Fisher,B.S.,,"Fisher, B.S.","Fisher, B.S.","Fisher, B.S.",0.0,1,http://www.wikidata.org/entity/Q21341094,Beryl Stranack Fisher,Fisher,B.S.,"Fisher, B.S.",,,,75617,2756-1,B.S.Fisher,,,1907.0,1951.0,,
42,REINJ,Rein J.J.,Rein,Johannes,Justus,"Rein, J.J.","Rein, J.J.","Rein, J.J.",0.0,1,http://www.wikidata.org/entity/Q87900,Johannes Justus Rein,Rein,J.J.,"Rein, J.J.",,14917475,0000 0000 8359 2443,8458.0,8263-1,Rein,,,1835.0,1918.0,,
43,BARTJ,Barth J.,Barth,Jozsef,,"Barth, J.","Barth, J.","Barth, J.",0.0,1,http://www.wikidata.org/entity/Q12349965,Joseph Barth,Barth,J.,"Barth, J.",,,,14396,31379-1,Barth,,,1833.0,1915.0,,
44,H449,Humphrey J.E.,Humphrey,J.E.,,"Humphrey, J.E.","Humphrey, J.E.","Humphrey, J.E.",0.0,1,http://www.wikidata.org/entity/Q18156711,James Ellis Humphrey,Humphrey,J.E.,"Humphrey, J.E.",,56153944,0000 0000 3887 0491,13065,20615-1,Humphrey,,,1861.0,1897.0,,
45,A223,Alstrup V.,Alstrup,Vagn,,"Alstrup, V.","Alstrup, V.","Alstrup, V.",0.0,1,http://www.wikidata.org/entity/Q21338871,Vagn Alstrup,Alstrup,V.,"Alstrup, V.",,,,93664,30808-1,Alstrup,,,1944.0,2015.0,,
