name,active,comment,info_link,portrait_link
"ABBOTT, Francis, Jnr",1834–1903,Gardens Superintendent,notes,portrait
"ABID, Munir. A., See MUNIR",,,,
"ABRAHAMS, L.",fl. 1910,,,
"ABRAHAMSON, Ada",fl. 1890s,"Amateur seaweed collector, WA",notes,
"ACKLAND, Judith Joan",fl. 1960s,Botanist,,
"ADAIR, Robyn",1962-,Botanist,,
"ADAM, P.",,Ecologist,,
"ADAM, William Keith",?1860–1900,"Stock-owner, plant collector, WA",notes,
"ADAMS, David Boner",1900–1951,"Mycologist, plant pathologist",,
"ADAMS, Laurence George (Laurie)*",1929–2014,"Herbarium botanist, Canberra",notes,portrait
"ADAMS, Mary Annie or Annie Mary, see WILKINS",1874–1931,,,
"ADAMS, Miss",fl. 1889,Collected on the River Murray,,
"ADAMS, Nilavan",fl. 2000s,"Botanical artist, ACT",notes,portrait
"ADAMS, Robin*",1953-,Botany Teacher,,
"ADAMS, Ronald",1934-,Botanical illustrator,notes,
"ADAMS, T.W.",fl. 1900s,,,
"ADAMSON, Frederick M.",fl. 1836-58,Pioneer settler near Melbourne,notes,
"ADAMSON, Robert Stephen",1885–1965,Botanist,,
"ADAMSON, S. W. ^^",fl. 1896,"collected near Uralla, NSW",,
"ADAMTHWAITE, A.E. ^^",fl. 1891,"collected along R. Murray, NSW",,
"ADCOCK, George Henry",1860–1931,"Schoolmaster, Geelong; viticulturist Rutherglen",notes,portrait
"ADCOCK, T. ^^",fl. 1888,"collected Airey Inlet, Vic.",,
"ADIAN, G. I. ^^",fl. 1885,collected in Vic.,,
"AGARDH, Jakob Georg",1813–1901,"Swedish botanist, phycologist, never visited Australia",notes,portrait
"AHMED, Amanda",fl. 2000s,"Botanical artist, Vic",notes,portrait
"AIRY SHAW, Herbert Kenneth*",1902–1985,"Botanist, classicist",notes,portrait
"AITKEN, R.T.",fl. 1921,,,
"ALBISON, K.W.",fl. 1932,Botanist,,
"ALBRECHT, David Edward*",1962-,"Herbarium botanist, Vict, NT, Tas, ACT",notes,portrait
"ALCOCK, Charles Raymond (Ray)*",1921-2015,"Agronomist, plant collector, weed specialist, SA",notes,portrait
"ALCOCK, Ernest Simpson",,Agricultural adviser,,
"ALCOCK, H.W. ^^",fl. 1896,"collected Swan River District, WA",,
