,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
0,c00001,ABBOTT,F.,"ABBOTT, F.","ABBOTT, Francis, Jnr",1834–1903,Gardens Superintendent,notes,portrait
1,c00002,ABID,M.A.,"ABID, M.A.","ABID, Munir. A., See MUNIR",,,,
2,c00003,ABRAHAMS,L.,"ABRAHAMS, L.","ABRAHAMS, L.",fl. 1910,,,
3,c00004,ABRAHAMSON,A.,"ABRAHAMSON, A.","ABRAHAMSON, Ada",fl. 1890s,"Amateur seaweed collector, WA",notes,
4,c00005,ACKLAND,J.J.,"ACKLAND, J.J.","ACKLAND, Judith Joan",fl. 1960s,Botanist,,
5,c00006,ADAIR,R.,"ADAIR, R.","ADAIR, Robyn",1962-,Botanist,,
6,c00007,ADAM,P.,"ADAM, P.","ADAM, P.",,Ecologist,,
7,c00008,ADAM,W.K.,"ADAM, W.K.","ADAM, William Keith",?1860–1900,"Stock-owner, plant collector, WA",notes,
8,c00009,ADAMS,D.B.,"ADAMS, D.B.","ADAMS, David Boner",1900–1951,"Mycologist, plant pathologist",,
9,c00010,ADAMS,L.G.(.,"ADAMS, L.G.(.","ADAMS, Laurence George (Laurie)*",1929–2014,"Herbarium botanist, Canberra",notes,portrait
10,c00011,ADAMS,M.A.o.A.M.,"ADAMS, M.A.o.A.M.","ADAMS, Mary Annie or Annie Mary, see WILKINS",1874–1931,,,
11,c00012,ADAMS,M.,"ADAMS, M.","ADAMS, Miss",fl. 1889,Collected on the River Murray,,
12,c00013,ADAMS,N.,"ADAMS, N.","ADAMS, Nilavan",fl. 2000s,"Botanical artist, ACT",notes,portrait
13,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*",1953-,Botany Teacher,,
14,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald",1934-,Botanical illustrator,notes,
15,c00016,ADAMS,T.W.,"ADAMS, T.W.","ADAMS, T.W.",fl. 1900s,,,
16,c00017,ADAMSON,F.M.,"ADAMSON, F.M.","ADAMSON, Frederick M.",fl. 1836-58,Pioneer settler near Melbourne,notes,
17,c00018,ADAMSON,R.S.,"ADAMSON, R.S.","ADAMSON, Robert Stephen",1885–1965,Botanist,,
18,c00019,ADAMSON,S.W.,"ADAMSON, S.W.","ADAMSON, S. W. ^^",fl. 1896,"collected near Uralla, NSW",,
19,c00020,ADAMTHWAITE,A.E.,"ADAMTHWAITE, A.E.","ADAMTHWAITE, A.E. ^^",fl. 1891,"collected along R. Murray, NSW",,
20,c00021,ADCOCK,G.H.,"ADCOCK, G.H.","ADCOCK, George Henry",1860–1931,"Schoolmaster, Geelong; viticulturist Rutherglen",notes,portrait
21,c00022,ADCOCK,T.,"ADCOCK, T.","ADCOCK, T. ^^",fl. 1888,"collected Airey Inlet, Vic.",,
22,c00023,ADIAN,G.I.,"ADIAN, G.I.","ADIAN, G. I. ^^",fl. 1885,collected in Vic.,,
23,c00024,AGARDH,J.G.,"AGARDH, J.G.","AGARDH, Jakob Georg",1813–1901,"Swedish botanist, phycologist, never visited Australia",notes,portrait
24,c00025,AHMED,A.,"AHMED, A.","AHMED, Amanda",fl. 2000s,"Botanical artist, Vic",notes,portrait
25,c00026,AIRY SHAW,H.K.,"AIRY SHAW, H.K.","AIRY SHAW, Herbert Kenneth*",1902–1985,"Botanist, classicist",notes,portrait
26,c00027,AITKEN,R.T.,"AITKEN, R.T.","AITKEN, R.T.",fl. 1921,,,
27,c00028,ALBISON,K.W.,"ALBISON, K.W.","ALBISON, K.W.",fl. 1932,Botanist,,
28,c00029,ALBRECHT,D.E.,"ALBRECHT, D.E.","ALBRECHT, David Edward*",1962-,"Herbarium botanist, Vict, NT, Tas, ACT",notes,portrait
29,c00030,ALCOCK,C.R.(.,"ALCOCK, C.R.(.","ALCOCK, Charles Raymond (Ray)*",1921-2015,"Agronomist, plant collector, weed specialist, SA",notes,portrait
30,c00031,ALCOCK,E.S.,"ALCOCK, E.S.","ALCOCK, Ernest Simpson",,Agricultural adviser,,
31,c00032,ALCOCK,H.W.,"ALCOCK, H.W.","ALCOCK, H.W. ^^",fl. 1896,"collected Swan River District, WA",,
32,c00033,ALCOCK,K.,"ALCOCK, K.","ALCOCK, Kath",1925-,"Botanical artist, field naturalist, collector, SA",notes,portrait
33,c00034,ALCORN,J.L.,"ALCORN, J.L.","ALCORN, John Leonard*",1937-,Mycologist,,
34,c00035,ALDERSEY,M.A.,"ALDERSEY, M.A.","ALDERSEY, Mary Ann",1825–1906,"School-teacher, collected for Mueller, McLaren Vale, SA",notes,portrait
35,c00036,ALDRIDGE,H.E.,"ALDRIDGE, H.E.","ALDRIDGE, H.E.",fl. 1899,"collected Maryborough, Qld",,
36,c00037,ALFORD,B.P.,"ALFORD, B.P.","ALFORD, Brian P.",fl. 1970s,Teacher,,
37,c00038,ALKIN,T.V.,"ALKIN, T.V.","ALKIN, Thomas Verrier, Rev.",1838–1921,"Anglican clergyman, Toowoomba Qld; various NSW",notes,
38,c00039,ALLAN,D.,"ALLAN, D.","ALLAN, D.",fl. 1891,"collected at Colombo near Bega, NSW",,
39,c00040,ALLAN,J.,"ALLAN, J.","ALLAN, J.",fl. 1860s,"collected in Gippsland, Vic",,
40,c00041,ALLAN,J.S.o.J.L.(.A.,"ALLAN, J.S.o.J.L.(.A.","ALLAN, J.S. or J.L. (or Allen)",fl. 1890s,"Forest ranger, various NSW",notes,
41,c00042,ALLAN,K.M.,"ALLAN, K.M.","ALLAN, Keith Maxwell",1950-,Botanical illustrator,,
42,c00043,ALLAN,M.F.,"ALLAN, M.F.","ALLAN, Margaret Forbes,",1924-,Bank clerk,,
43,c00044,ALLEN (ALLAN),J.,"ALLEN (ALLAN), J.","ALLEN (ALLAN), John ^^",fl. 1840s,collected fungi on Murrumbidgee R.,,
44,c00045,ALLEN,A.,"ALLEN, A.","ALLEN, A. ^^",fl. 1896,"collected at Mossman Bay, Qld",,
45,c00046,ALLEN,B.E.G.,"ALLEN, B.E.G.","ALLEN, Betty Eleanor Gosset, Mrs* nee MOLESWORTH Mrs",1913-ext.1947,"Botanist, cryptogamist",,
46,c00047,ALLEN,B.,"ALLEN, B.","ALLEN, Beverly",fl. 2000s,Botanical illustrator,notes,portrait
47,c00048,ALLEN,C.E.F.,"ALLEN, C.E.F.","ALLEN, Charles Ernest Frank",1876- &gt;1939,Gardens curator,notes,
48,c00049,ALLEN,G.A.,"ALLEN, G.A.","ALLEN, Grace Adelaide",1871–1940,Collected in Qld for Mueller,notes,
49,c00050,ALLEN,M.(.C.,"ALLEN, M.(.C.","ALLEN, Miss  (? Catherine) ^^",1863-,"collected at Penola, SA; Bass Str. islands, Tas",,
50,c00051,ALLEN,W.T.,"ALLEN, W.T.","ALLEN, William Tucker",1846-,"expedition collector, Kimberley, WA; western Vic",notes,
51,c00052,ALLENDER,B.,"ALLENDER, B.","ALLENDER, Bruce",,"Botanist, phycologist",,
52,c00053,ALLENDER,M.J.,"ALLENDER, M.J.","ALLENDER, Marie Joyce, Miss*",1917-,Herbarium assistant naturalist,,
53,c00054,ALLEY,N.,"ALLEY, N.","ALLEY, Neville",fl. 1980,Palynologist,,
54,c00055,ALLISON,J.,"ALLISON, J.","ALLISON, J. ^^",fl. 1998,"collected at Bathurst, Dubbo, NSW",,
55,c00056,ALLITT,W.,"ALLITT, W.","ALLITT, William",1828–1893,"Gardens curator, nurseryman",notes,
56,c00057,ALLPORT,J.,"ALLPORT, J.","ALLPORT, Joseph",1800–1877,"Solicitor, horticulturist",notes,
57,c00058,ALLPORT,M.M.,"ALLPORT, M.M.","ALLPORT, Mary Morton, Mrs.",1806–1895,"Wildflower painter, Tas",notes,portrait
58,c00059,ALLPORT,M.,"ALLPORT, M.","ALLPORT, Morton",1830–1878,"Naturalist, painter, Tas",notes,
59,c00060,ALPHER,B.J.,"ALPHER, B.J.","ALPHER, Barry Jacob",1940-,"Linguist, anthropologist",,
60,c00061,ALTHOFER,G.W.,"ALTHOFER, G.W.","ALTHOFER, George W.",1903–1993,"Nurseryman, botanist, author, founder of Burrendong Arboretum",notes,portrait
61,c00062,ALTHOFER,H.J.,"ALTHOFER, H.J.","ALTHOFER, Hazel J.",1920 -,"Propagator, Burrendong Aboretum superintendent",,
62,c00063,ALTHOFER,P.M.,"ALTHOFER, P.M.","ALTHOFER, Peter McDowell.",1918–1991,"Horticulturist, Burrendong Arboretum superintendent",notes,portrait
63,c00064,"AMERY,",,"AMERY,","AMERY,",fl. 1887,"collected at Glenrowan, Vic",,
64,c00065,AMTSBERG,H.,"AMTSBERG, H.","AMTSBERG, Heinz",fl. 1980s,"City Gardener, palaeobotanist",,
65,c00066,"ANDERSON,",,"ANDERSON,","ANDERSON,",fl. 1888,"Farmer, politician, Tas; Port Fairy, Vic",notes,
66,c00067,ANDERSON,A.W.,"ANDERSON, A.W.","ANDERSON, A.W.",fl. 1930s,"Mostly collected in Canada, a few in Aust.",,
67,c00068,ANDERSON,A.,"ANDERSON, A.","ANDERSON, Alexander ^^",fl. 1890s,collected on Blackall Ra. Qld,,
68,c00069,ANDERSON,D.,"ANDERSON, D.","ANDERSON, David",fl. 1770s,,,
69,c00070,ANDERSON,E.M.,"ANDERSON, E.M.","ANDERSON, E.M.",,,,
70,c00071,ANDERSON,E.R.,"ANDERSON, E.R.","ANDERSON, E.R.",fl. 1960s-70s,Qld.,,
71,c00072,ANDERSON,J.,"ANDERSON, J.","ANDERSON, James",1797–1842,Gardens Superintendent,notes,
72,c00073,ANDERSON,J.,"ANDERSON, J.","ANDERSON, Jill, Mrs, see CULLIMORE",,,,
73,c00074,ANDERSON,J.,"ANDERSON, J.","ANDERSON, John",?–1847,"Colonial Botanist, Gardens Director",,
74,c00075,ANDERSON,M.L.,"ANDERSON, M.L.","ANDERSON, M.L.",fl. 1870,collected lichens in Australia,,
75,c00076,ANDERSON,M.,"ANDERSON, M.","ANDERSON, Miss ^^",fl. 1898,"collected at Lake Boga and Wimmera, Vic",,
76,c00077,ANDERSON,N.D.,"ANDERSON, N.D.","ANDERSON, N.D.",fl. 1967-79,NSW,,
77,c00078,ANDERSON,R.H.,"ANDERSON, R.H.","ANDERSON, Robert Henry",1899–1969,"Gardens Director, Botanist, NSW",notes,portrait
78,c00079,ANDERSON,R.J.,"ANDERSON, R.J.","ANDERSON, Robert John",1952-2012,"Chemotaxonomist, uni lecturer, Vict, SA",notes,
79,c00080,ANDERSON,R.,"ANDERSON, R.","ANDERSON, Ross",1862–1945,"Pastralist near Roebourne, later Kendenup, WA",notes,
80,c00081,ANDERSON,T.,"ANDERSON, T.","ANDERSON, T.",1832–1870,"Collected in Middle East, India, Indonesia, NSW",,
81,c00082,ANDERSON,W.,"ANDERSON, W.","ANDERSON, William",1750 - 1778,"Surgeon, botanist on Cooks 2nd voyage",notes,
82,c00083,ANDERSSON,N.J.,"ANDERSSON, N.J.","ANDERSSON, Nils Johan",1821–1880,"Botanist,  lecturer at Lund, Stockholm, collected on voyages",notes,
83,c00084,ANDRAE,H.,"ANDRAE, H.","ANDRAE, Hans ^^",1883–1890,"collected  around Pulpulla &amp; Cobar, NSW",,
84,c00085,ANDREWARTHA,H.G.,"ANDREWARTHA, H.G.","ANDREWARTHA, Herbert George, Prof.*",1907-,"Zoologist, entomologist",,
85,c00086,"ANDREWS,",,"ANDREWS,","ANDREWS, ^^",fl. 1897,"collected  at Albury, NSW",,
86,c00087,ANDREWS,C.R.P.,"ANDREWS, C.R.P.","ANDREWS, Cecil Rollo Paton",1870–1951,"Education Director, botanist",notes,
87,c00088,ANDREWS,C.W.,"ANDREWS, C.W.","ANDREWS, Charles William, Dr",1866–1924,"Naturalist, geologist, collected on Cocos (Keeling), Christmas Is.",notes,
