,coll_index,surname_x,initials_x,canonical_string_x,name,active,comment,left_side,right_side,similarity,dup_count,item,itemLabel,surname_y,initials_y,canonical_string_y,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
0,c00001,ABBOTT,F.,"ABBOTT, F.","ABBOTT, Francis, Jnr",1834–1903,Gardens Superintendent,"ABBOTT, F.","Abbott, F.",1.0,1.0,http://www.wikidata.org/entity/Q4529517,Francis Abbott,Abbott,F.,"Abbott, F.",,,,,,,,P000065b,1799.0,1883.0,,,http://www.wikidata.org/wiki/Q4529517,,,,,http://www.eoas.info/biogs/P000065b,http://adb.anu.edu.au/biography/abbott-francis-4
9,c00010,ADAMS,L.G.(.,"ADAMS, L.G.(.","ADAMS, Laurence George (Laurie)*",1929–2014,"Herbarium botanist, Canberra","ADAMS, L.G.(.","Adams, L.G.",1.0,1.0,http://www.wikidata.org/entity/Q10316562,Laurence George Adams,Adams,L.G.,"Adams, L.G.",,,,,12081-1,L.G.Adams,,P005518b,1929.0,2014.0,,,http://www.wikidata.org/wiki/Q10316562,,,https://www.ipni.org/a/12081-1,,http://www.eoas.info/biogs/P005518b,
11,c00012,ADAMS,M.,"ADAMS, M.","ADAMS, Miss",fl. 1889,Collected on the River Murray,"ADAMS, M.","Adams, M.",1.0,1.0,http://www.wikidata.org/entity/Q22110151,Mark Adams,Adams,M.,"Adams, M.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22110151,,,,,,
12,c00013,ADAMS,N.,"ADAMS, N.","ADAMS, Nilavan",fl. 2000s,"Botanical artist, ACT","ADAMS, N.","Adams, N.",1.0,1.0,http://www.wikidata.org/entity/Q3297913,Nancy Adams,Adams,N.,"Adams, N.",,36627065,0000 0000 6400 0318,20403.0,32209-1,N.M.Adams,Q3297913,,1926.0,2007.0,,,http://www.wikidata.org/wiki/Q3297913,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20403,https://www.ipni.org/a/32209-1,https://bloodhound-tracker.net/Q3297913,,
13,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*",1953-,Botany Teacher,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
14,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*",1953-,Botany Teacher,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
15,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald",1934-,Botanical illustrator,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
16,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald",1934-,Botanical illustrator,"ADAMS, R.","Adams, R.",1.0,1.0,http://www.wikidata.org/entity/Q7348773,Robert Adams,Adams,R.,"Adams, R.",,308698665,,,,,,,1831.0,1911.0,,,http://www.wikidata.org/wiki/Q7348773,,,,,,http://adb.anu.edu.au/biography/adams-robert-patten-2868
19,c00018,ADAMSON,R.S.,"ADAMSON, R.S.","ADAMSON, Robert Stephen",1885–1965,Botanist,"ADAMSON, R.S.","Adamson, R.S.",1.0,1.0,http://www.wikidata.org/entity/Q3436355,Robert Stephen Adamson,Adamson,R.S.,"Adamson, R.S.",,24268246,0000 0000 4587 6189,40480.0,68-1,Adamson,Q3436355,,1885.0,1965.0,,,http://www.wikidata.org/wiki/Q3436355,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40480,https://www.ipni.org/a/68-1,https://bloodhound-tracker.net/Q3436355,,
25,c00024,AGARDH,J.G.,"AGARDH, J.G.","AGARDH, Jakob Georg",1813–1901,"Swedish botanist, phycologist, never visited Australia","AGARDH, J.G.","Agardh, J.G.",1.0,1.0,http://www.wikidata.org/entity/Q520594,Jacob Georg Agardh,Agardh,J.G.,"Agardh, J.G.",,76431619,0000 0001 0917 6027,494.0,30669-1,J.Agardh,,,1813.0,1901.0,,,http://www.wikidata.org/wiki/Q520594,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=494,https://www.ipni.org/a/30669-1,,,
