,coll_index,surname_x,initials_x,clean_name,raw_name,name,matched_name,distance,dup_count,item,itemLabel,surname_y,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
0,c00010,ADAMS,L.G.(.,"ADAMS, L.G.(.","ADAMS, Laurence George (Laurie)*","ADAMS, L.G.(.","Adams, L.G.",0.0,1,http://www.wikidata.org/entity/Q10316562,Laurence George Adams,Adams,L.G.,"Adams, L.G.",,,,,12081-1,L.G.Adams,1929.0,2014.0,,
1,c00012,ADAMS,M.,"ADAMS, M.","ADAMS, Miss","ADAMS, M.","Adams, M.",0.0,1,http://www.wikidata.org/entity/Q22110151,Mark Adams,Adams,M.,"Adams, M.",,,,,,,,,,
2,c00013,ADAMS,N.,"ADAMS, N.","ADAMS, Nilavan","ADAMS, N.","Adams, N.",0.0,1,http://www.wikidata.org/entity/Q3297913,Nancy Adams,Adams,N.,"Adams, N.",,36627065,0000 0000 6400 0318,20403.0,32209-1,N.M.Adams,1926.0,2007.0,,
3,c00014,ADAMS,R.,"ADAMS, R.","ADAMS, Robin*","ADAMS, R.","Adams, R.",0.0,1,http://www.wikidata.org/entity/Q6109490,R.M. Adams,Adams,R.,"Adams, R.",,,,5550,30647-1,R.M.Adams,1949.0,,,
4,c00015,ADAMS,R.,"ADAMS, R.","ADAMS, Ronald","ADAMS, R.","Adams, R.",0.0,1,http://www.wikidata.org/entity/Q6109490,R.M. Adams,Adams,R.,"Adams, R.",,,,5550,30647-1,R.M.Adams,1949.0,,,
5,c00018,ADAMSON,R.S.,"ADAMSON, R.S.","ADAMSON, Robert Stephen","ADAMSON, R.S.","Adamson, R.S.",0.0,1,http://www.wikidata.org/entity/Q3436355,Robert Stephen Adamson,Adamson,R.S.,"Adamson, R.S.",,24268246,0000 0000 4587 6189,40480.0,68-1,Adamson,1885.0,1965.0,,
6,c00024,AGARDH,J.G.,"AGARDH, J.G.","AGARDH, Jakob Georg","AGARDH, J.G.","Agardh, J.G.",0.0,1,http://www.wikidata.org/entity/Q520594,Jacob Georg Agardh,Agardh,J.G.,"Agardh, J.G.",,76431619,0000 0001 0917 6027,494.0,30669-1,J.Agardh,1813.0,1901.0,,
7,c00029,ALBRECHT,D.E.,"ALBRECHT, D.E.","ALBRECHT, David Edward*","ALBRECHT, D.E.","Albrecht, D.E.",0.0,1,http://www.wikidata.org/entity/Q8354093,David Edward Albrecht,Albrecht,D.E.,"Albrecht, D.E.",,4256153184549027100009,,60179,14172-1,Albr.,1962.0,,,
8,c00030,ALCOCK,C.R.(.,"ALCOCK, C.R.(.","ALCOCK, Charles Raymond (Ray)*","ALCOCK, C.R.(.","Alcock, C.R.",0.0,1,http://www.wikidata.org/entity/Q21505035,Charles Raymond Alcock,Alcock,C.R.,"Alcock, C.R.",,,,,30757-1,Alcock,1921.0,,,
9,c00034,ALCORN,J.L.,"ALCORN, J.L.","ALCORN, John Leonard*","ALCORN, J.L.","Alcorn, J.L.",0.0,1,http://www.wikidata.org/entity/Q21394694,John Leonard Alcorn,Alcorn,J.L.,"Alcorn, J.L.",,,,,30758-1,Alcorn,1937.0,,,
10,c00040,ALLAN,J.,"ALLAN, J.","ALLAN, J.","ALLAN, J.","Allan, J.",0.0,1,http://www.wikidata.org/entity/Q21393941,Joyce Allan,Allan,J.,"Allan, J.",,276966430,0000 0000 6361 2478,,,,1896.0,1966.0,,
11,c00047,ALLEN,B.,"ALLEN, B.","ALLEN, Beverly","ALLEN, B.","Allen, B.",0.0,1,http://www.wikidata.org/entity/Q52903758,Benjamin Allen,Allen,B.,"Allen, B.",,27416747,0000 0000 6313 148X,,,,1663.0,1738.0,,
12,c00049,ALLEN,G.A.,"ALLEN, G.A.","ALLEN, Grace Adelaide","ALLEN, G.A.","Allen, G.A.",0.0,1,http://www.wikidata.org/entity/Q13415760,Geraldine A. Allen,Allen,G.A.,"Allen, G.A.",0000-0001-7138-9090,,,92858.0,30783-1,G.A.Allen,1950.0,,,
13,c00059,ALLPORT,M.,"ALLPORT, M.","ALLPORT, Morton","ALLPORT, M.","Allport, M.",0.0,1,http://www.wikidata.org/entity/Q6914817,Morton Allport,Allport,M.,"Allport, M.",,94105913,,,,,1830.0,1878.0,,
14,c02941,SKOTTSBERG,C.,"SKOTTSBERG, C.","SKOTTSBERG, Carl, Prof.","SKOTTSBERG, C.","Skottsberg, C.",0.0,1,http://www.wikidata.org/entity/Q942078,Carl Skottsberg,Skottsberg,C.,"Skottsberg, C.",,49306434,0000 0001 1026 4358,46927.0,9724-1,Skottsb.,1880.0,1963.0,,
15,c00075,ANDERSON,M.L.,"ANDERSON, M.L.","ANDERSON, M.L.","ANDERSON, M.L.","Anderson, M.L.",0.0,1,http://www.wikidata.org/entity/Q89933662,Michelle L. Anderson,Anderson,M.L.,"Anderson, M.L.",,,,,,,,,,
16,c00078,ANDERSON,R.H.,"ANDERSON, R.H.","ANDERSON, Robert Henry","ANDERSON, R.H.","Anderson, R.H.",0.0,1,http://www.wikidata.org/entity/Q15975678,Robert Henry Anderson,Anderson,R.H.,"Anderson, R.H.",,1978021,0000 0000 8017 2718,13259.0,198-1,R.H.Anderson,1899.0,1969.0,,
17,c00083,ANDERSSON,N.J.,"ANDERSSON, N.J.","ANDERSSON, Nils Johan","ANDERSSON, N.J.","Andersson, N.J.",0.0,1,http://www.wikidata.org/entity/Q1348854,Nils Johan Andersson,Andersson,N.J.,"Andersson, N.J.",,35205016,0000 0000 8114 5455,564.0,203-1,Andersson,1821.0,1880.0,,
18,c00087,ANDREWS,C.R.P.,"ANDREWS, C.R.P.","ANDREWS, Cecil Rollo Paton","ANDREWS, C.R.P.","Andrews, C.R.P.",0.0,1,http://www.wikidata.org/entity/Q13426205,Cecil Rollo Payton Andrews,Andrews,C.R.P.,"Andrews, C.R.P.",,,,67576,212-1,C.R.P.Andrews,1870.0,1951.0,,
19,c00088,ANDREWS,C.W.,"ANDREWS, C.W.","ANDREWS, Charles William, Dr","ANDREWS, C.W.","Andrews, C.W.",0.0,1,http://www.wikidata.org/entity/Q2960456,Charles William Andrews,Andrews,C.W.,"Andrews, C.W.",,315522788,0000 0000 9179 5064,31628.0,213-1,C.W.Andrews,1866.0,1924.0,,
