agent_id,family_name,initials,given_names,num_coll,start_year,end_year
1297,Beauglehole,A.C.,NULL,69198,1929,2001
14283,Mueller,"F. ","Ferdinand Jacob Heinrich",25429,1812,1895
19313,Stone,I.G.,NULL,25428,1960,1999
21883,Willis,J.H.,James,20637,1885,1996
6458,Filson,R.B.,Rex,15193,1933,2000
6771,Forster,P.I.,"Paul Irwin",12226,1955,2118
19040,Stajsic,V.,Val,10865,1988,2020
21564,Whinray,J.S.,John,10631,1958,2017
20954,Walsh,N.G.,Neville,9122,1971,2020
4942,Dallachy,J.,John,8181,1850,1883
19415,Stuart,C.,Charles,7342,1844,1886
14329,Muir,T.B.,NULL,7191,1879,1986
5618,Drummond,J.,James,6353,1829,1889
168,Albrecht,D.E.,David,6330,1958,2017
1796,Black,R.A.,Raleigh,6142,1900,1953
4312,Corrick,M.G.,"Margaret Georgina",5938,1956,2007
18470,Simmons,M.H.,NULL,5900,1944,2005
18465,Simmons,J.G.,NULL,5845,1944,2005
2473,Brooker,M.I.H.,NULL,4966,1938,2006
19007,"St John",P.R.H.,NULL,4402,1881,1999
3598,Chesterfield,E.A.,Evan,4350,1970,2002
10324,Jobson,P.C.,Peter,4329,1970,2015
602,Aston,H.I.,Helen,4274,1951,2000
15121,Oldfield,A.F.,NULL,4108,1850,1862
16555,Ratkowsky,D.A.,David,4085,1966,2018
16191,Preiss,J.A.L.,NULL,3918,1838,1870
6124,Entwisle,T.J.,Tim,3888,1980,2015
20837,Wakefield,N.A.,NULL,3702,1926,1989
22193,Woolls,W.,William,3654,1823,1921
26843,Gates,G.M.,Genevieve,3524,1996,2019
18385,Short,P.S.,Phillip,3469,1971,2011
13004,Maxwell,G.,George,3460,1840,1978
21860,Williamson,H.B.,"Herbert Bennett",3458,1828,1930
13582,Melville,R.,NULL,3443,1934,2007
743,Bäuerlen,W.,William,3434,1880,1910
6676,Forbes,S.J.,NULL,3399,1976,1991
3631,Chippendale,G.M.,NULL,3383,1951,1976
16621,Reader,F.M.,"Felix Maximilian",3371,1854,1996
9632,Hosking,J.R.,John,3319,1977,2017
1257,Bean,A.R.,Tony,3270,1966,2017
4419,Cowie,I.D.,Ian,3135,1981,2018
3185,Cann,H.J.,NULL,3106,1952,1974
4400,Coveny,R.G.,NULL,3070,1953,2013
1334,Beckler,H.,Herman,2995,1857,1933
10213,Jeanes,J.A.,Jeff,2914,1983,2018
19830,Tepper,J.G.O.,NULL,2876,1829,1988
5344,Dietrich,A.,Amalia,2754,1860,1880
16991,Robbins,F.,NULL,2697,1925,1985
1148,Bastow,R.A.,NULL,2694,1854,1950
11496,Latz,P.K.,NULL,2605,1967,2013
20964,Walter,C.,Charles,2589,1867,1999
18745,Smith,R.V.,NULL,2568,1941,2001
4492,Craven,L.A.,Lyn,2564,1962,2008
15766,Persieh,W.A.,NULL,2551,1877,1887
11719,Leichhardt,F.W.L.,NULL,2518,1842,1848
2564,Brown,R.,Robert,2504,1801,1982
3774,Clarke,I.C.,Ian,2491,1975,2017
18544,Sinkora,D.,NULL,2477,1969,1993
453,Archer,B.,Barbara,2464,1979,2005
18408,Sieber,F.W.,"Franz Wilhelm",2428,1811,1923
22407,Zeyher,C.L.P.,NULL,2276,1822,1895
14765,Nicholls,W.H.,NULL,2267,1921,1962
3266,Carr,G.W.,Geoff,2262,1924,2015
2189,Bowman,E.M.,NULL,2200,1859,1873
4125,Conn,B.J.,Barry,2186,1970,2014
1,Klazenga,N.,Niels,2139,1997,2018
1844,Blake,S.T.,NULL,2108,1917,1980
6548,Fitzalan,E.F.A.,"Eugene Fitzherbaert Albini",2059,1855,1974
10624,Karunajeewa,N.G.,Nimal,2052,2002,2020
11583,Lazarides,M.,Mike,2012,1938,1988
5867,Ecklon,C.F.,Christian,1995,1817,1870
18665,Smith,B.H.,Basil,1965,1980,2005
6744,Forrest,J.,NULL,1952,1818,1890
15050,O'Shanesy,P.A.,Patrick,1934,1863,1887
6710,Foreman,D.B.,Don,1929,1972,2003
16486,Ralston,K.,NULL,1902,1990,2007
17266,Ross,J.H.,Jim,1865,1896,2005
21952,Wilson,J.B.,"John Bracebridge ",1864,1872,1895
10391,Johnson,Stephen,NULL,1795,1876,1899
4541,Crichton,G.A.,NULL,1789,1945,1997
13285,McHard,M.,Mary,1777,1847,1895
17766,Sayer,W.A.,NULL,1730,1877,1898
4754,Cunningham,A.,Allan,1723,1812,1867
2521,Brown,A.J.,Austin,1703,1941,2017
5761,Duretto,M.F.,Marco,1661,1991,2010
493,Armit,"W.E. de M.","William Edington de Margrat",1654,1802,1898
14213,Moscal,A.,NULL,1626,1968,2002
11064,Koch,M.,Maxwell,1595,1882,1928
465,Archer,W.R.,"William Richard",1591,1978,2013
21268,Webb,W.,NULL,1579,1879,1896
13632,Merrall,E.,Edwin,1561,1807,1899
20003,Thozet,A.,Anthelme,1522,1866,1881
11873,Lewis,S.H.,Simon,1518,1971,2003
8921,Helms,R.,Richard,1481,1871,1981
19624,Tadgell,A.J.,NULL,1425,1886,1966
1168,Bates,R.J.,NULL,1414,1968,2014
17455,Rupp,H.M.R.,NULL,1405,1882,1944
10459,Jones,D.L.,"David Lloyd",1385,1960,2006
9468,Holtze,M.W.,"Maurice Waldemar",1361,1867,1911
9708,Howitt,A.W.,NULL,1335,1838,1903
13655,Messina,A.,Andre,1330,2006,2020
8646,Harvey,W.H.,"William Henry",1311,1839,1858
20156,Tonkin,J.E.,Jenny,1289,1994,2006
4506,Crawford,I.,NULL,1287,1985,2012
13829,Milne,J.,Josephine,1282,1993,2018
1176,Batianoff,G.N.,NULL,1278,1955,2007
15759,Perry,R.A.,NULL,1269,1946,1958
19463,Sullivan,D.J.,Daniel,1268,1869,1897
19876,Thiele,K.R.,Kevin,1262,1973,2018
16719,Reid,J.C.,John,1250,1974,2011
19381,Streimann,H.,NULL,1237,1963,2001
11634,Lebel,T.,Teresa,1218,1992,2017
5687,Duncan,B.D.,"Betty Dallas",1206,1972,1997
6349,Fawcett,H.C.,NULL,1203,1867,1887
3933,Cochrane,A.C.,Alexander,1186,1998,2000
20985,Walters,N.E.M.,NULL,1185,1947,1976
5716,Dunlop,C.R.,NULL,1169,1968,2000
14036,Moore,C.,"Charles ",1166,1845,1986
18908,Specht,R.L.,NULL,1158,1948,1989
6960,"French Jnr",C.H.,NULL,1156,1866,1944
9172,Hill,G.F.,NULL,1149,1901,1941
7114,Galbraith,J.,Jean,1144,1922,1992
11639,LeBreton,C.,NULL,1140,1975,1991
826,Baker,W.R.A.,NULL,1139,1868,1989
7041,Fullagar,J.P.,James,1121,1860,1877
6011,Elix,J.A.,Jack,1112,1965,2016
7345,George,A.S.,Alex,1108,1957,2017
18552,Sinnott,N.H.,Nigel,1104,1944,2015
15174,Orchard,A.E.,Tony,1101,1968,2010
18202,Sewell,J.,Julia,1087,1882,1906
3799,Clarkson,J.R.,NULL,1082,1930,1999
8455,Hansen,N.A.,NULL,1082,1924,1965
6219,Ewers,W.H.,NULL,1080,1958,1990
652,Audas,J.W.C.,NULL,1075,1891,1937
22177,Woolcock,C.E.,NULL,1073,1968,1989
4592,Cronin,M.,NULL,1070,1887,1982
2729,Bufton,J.,NULL,1061,1853,1898
9524,Hooker,J.D.,"Joseph Dalton",1046,1830,1902
21755,Wilhelmi,J.F.C.,NULL,1035,1847,1887
9507,Hoogland,R.D.,"Ruurd Dirk",1024,1951,1975
16619,Reader,E.,NULL,1020,1838,1894
12858,Maslin,B.R.,Bruce,1018,1910,2013
8624,Hartmann,C.H.,Carl,1017,1856,1889
1609,Betche,E.,Ernst,1016,1865,1986
8823,Healey,K.,NULL,1014,1953,1963
19882,Thies,A.W.,Arthur,1002,1978,1998
7835,Gray,B.,NULL,1001,1956,2011
19820,Tenison-Woods,J.E.,"Julian Edmund",995,1873,1892
13176,McDonald,"K.R. (1)",NULL,988,1990,2016
16828,Richards,A.F.,NULL,979,1850,1894
11524,Lau,H.,Hermann,962,1865,1866
6950,French,C.,NULL,949,1867,2001
760,Bailey,F.M.,"Frederick Manson",945,1869,1901
15296,Paget,A.,NULL,944,1982,2008
4558,Crisp,M.D.,Michael,941,1968,2015
15923,Piesse,A.D.J.,NULL,936,1980,1993
2495,Brooks,S.T.,NULL,926,1873,1899
11777,Lepschi,B.J.,Brendan,913,1988,2017
21369,Weindorfer,G.,Gustav,910,1887,1942
4480,Cranfield,R.J.,NULL,906,1965,2015
6737,Forrest,A.,Alex,893,1871,1882
19976,Thomson,T.,Thomas,878,1845,1885
10736,Kempe,F.A.H.,NULL,875,1879,1924
5864,Eckert,J.P.,NULL,862,1861,1906
18945,Spencer,R.D.,Roger,851,1969,2002
4866,D'Alton,"St. E.",Eloy,848,1871,1960
15632,Pedley,L.,Les,844,1957,2014
2580,Browne,J.H.,NULL,843,1874,2017
3558,Cheal,D.C.,NULL,841,1973,2012
12558,Maiden,J.H.,"Joseph Henry",839,1826,1921
3191,Canning,E.M.,NULL,838,1960,1997
17164,Rogers,R.,NULL,838,1972,1977
16303,Pullen,R.,NULL,830,1955,1998
14866,Nordenstam,B.,NULL,826,1962,1989
9724,Hubbard,C.E.,NULL,825,1926,1950
21214,Watts,W.W.,NULL,824,1887,1971
327,Anderberg,A.A.,Arne,818,1989,2009
