,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
16,11777,Lepschi,B.J.,Brendan,913,1988.0,2017.0,"Lepschi, B.J.","Lepschi, B.J.","Lepschi, B.J.",1.0,1.0,http://www.wikidata.org/entity/Q5733654,Brendan John Lepschi,Lepschi,B.J.,"Lepschi, B.J.",,,,39693.0,36824-1,Lepschi,,,1969.0,,,,http://www.wikidata.org/wiki/Q5733654,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=39693,https://www.ipni.org/a/36824-1,,,
17,21369,Weindorfer,G.,Gustav,910,1887.0,1942.0,"Weindorfer, G.","Weindorfer, G.","Weindorfer, G.",1.0,1.0,http://www.wikidata.org/entity/Q5621250,Gustav Weindorfer,Weindorfer,G.,"Weindorfer, G.",,41061291,0000 0000 3574 3120,,,,,P000880b,1874.0,1932.0,,,http://www.wikidata.org/wiki/Q5621250,,,,,http://www.eoas.info/biogs/P000880b,http://adb.anu.edu.au/biography/weindorfer-gustav-9038
18,4480,Cranfield,R.J.,,906,1965.0,2015.0,"Cranfield, R.J.","Cranfield, R.J.","Cranfield, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q19263359,Raymond Jeffrey Cranfield,Cranfield,R.J.,"Cranfield, R.J.",,,,,36616-1,Cranfield,,,1947.0,,,,http://www.wikidata.org/wiki/Q19263359,,,https://www.ipni.org/a/36616-1,,,
19,6737,Forrest,A.,Alex,893,1871.0,1882.0,"Forrest, A.","Forrest, A.","Forrest, A.",1.0,1.0,http://www.wikidata.org/entity/Q706734,Alexander Forrest,Forrest,A.,"Forrest, A.",,55957059,0000 0000 6391 2307,,,,,P001055b,1849.0,1901.0,,,http://www.wikidata.org/wiki/Q706734,,,,,http://www.eoas.info/biogs/P001055b,http://adb.anu.edu.au/biography/forrest-alexander-6208
24,18945,Spencer,R.D.,Roger,851,1969.0,2002.0,"Spencer, R.D.","Spencer, R.D.","Spencer, R.D.",1.0,1.0,http://www.wikidata.org/entity/Q7358068,Roger David Spencer,Spencer,R.D.,"Spencer, R.D.",,77970107,0000 0000 8272 6438,,14570-1,R.D.Spencer,,,1945.0,,,,http://www.wikidata.org/wiki/Q7358068,,,https://www.ipni.org/a/14570-1,,,
29,15632,Pedley,L.,Les,844,1957.0,2014.0,"Pedley, L.","Pedley, L.","Pedley, L.",1.0,1.0,http://www.wikidata.org/entity/Q4347893,Leslie Pedley,Pedley,L.,"Pedley, L.",,36029448,,,7460-1,Pedley,,P001460b,1930.0,2018.0,,,http://www.wikidata.org/wiki/Q4347893,,,https://www.ipni.org/a/7460-1,,http://www.eoas.info/biogs/P001460b,
30,2580,Browne,J.H.,,843,1874.0,2017.0,"Browne, J.H.","Browne, J.H.","Browne, J.H.",1.0,1.0,http://www.wikidata.org/entity/Q6136300,James Howard Browne,Browne,J.H.,"Browne, J.H.",,,,,,,,P004484b,1919.0,2004.0,,,http://www.wikidata.org/wiki/Q6136300,,,,,http://www.eoas.info/biogs/P004484b,
32,12558,Maiden,J.H.,Joseph Henry,839,1826.0,1921.0,"Maiden, J.H.","Maiden, J.H.","Maiden, J.H.",1.0,1.0,http://www.wikidata.org/entity/Q2583058,J. H. Maiden,Maiden,J.H.,"Maiden, J.H.",,10242002,0000 0000 8089 8455,1315.0,5992-1,Maiden,,P001287b,1859.0,1925.0,,,http://www.wikidata.org/wiki/Q2583058,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1315,https://www.ipni.org/a/5992-1,,http://www.eoas.info/biogs/P001287b,http://adb.anu.edu.au/biography/maiden-joseph-henry-7463
36,14866,Nordenstam,B.,,826,1962.0,1989.0,"Nordenstam, B.","Nordenstam, B.","Nordenstam, B.",1.0,1.0,http://www.wikidata.org/entity/Q4895698,Bertil Nordenstam,Nordenstam,B.,"Nordenstam, B.",,90729183,0000 0000 8163 5796,,7026-1,B.Nord.,,,1936.0,,,,http://www.wikidata.org/wiki/Q4895698,,,https://www.ipni.org/a/7026-1,,,
37,9724,Hubbard,C.E.,,825,1926.0,1950.0,"Hubbard, C.E.","Hubbard, C.E.","Hubbard, C.E.",1.0,1.0,http://www.wikidata.org/entity/Q2353716,Charles Edward Hubbard,Hubbard,C.E.,"Hubbard, C.E.",,79104339,0000 0001 0918 991X,180.0,4192-1,C.E.Hubb.,,,1900.0,1980.0,,,http://www.wikidata.org/wiki/Q2353716,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=180,https://www.ipni.org/a/4192-1,,,
