,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye
0,1297,Beauglehole,A.C.,,69198,1929.0,2001.0,"Beauglehole, A.C.","Beauglehole, A.C.","Beauglehole, A.C.",0.0,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,1920.0,2002.0,,
2,19313,Stone,I.G.,,25428,1960.0,1999.0,"Stone, I.G.","Stone, I.G.","Stone, I.G.",0.0,1.0,http://www.wikidata.org/entity/Q6000720,Ilma Grace Stone,Stone,I.G.,"Stone, I.G.",,163909337,0000 0001 1247 4965,40174,27255-1,I.G.Stone,,,1913.0,2001.0,,
5,6458,Filson,R.B.,Rex,15193,1933.0,2000.0,"Filson, R.B.","Filson, R.B.","Filson, R.B.",0.0,1.0,http://www.wikidata.org/entity/Q21339388,Rex Bertram Filson,Filson,R.B.,"Filson, R.B.",,,,76762,18803-1,Filson,,P002347b,1930.0,,,
6,6771,Forster,P.I.,Paul Irwin,12226,1955.0,2118.0,"Forster, P.I.","Forster, P.I.","Forster, P.I.",0.0,1.0,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster,Forster,P.I.,"Forster, P.I.",,,,,18907-1,P.I.Forst.,,,1961.0,,,
10,20954,Walsh,N.G.,Neville,9122,1971.0,2020.0,"Walsh, N.G.","Walsh, N.G.","Walsh, N.G.",0.0,1.0,http://www.wikidata.org/entity/Q6041421,Neville Grant Walsh,Walsh,N.G.,"Walsh, N.G.",,18877199,0000 0000 6385 4733,,14171-1,N.G.Walsh,,P005329b,1956.0,,,
11,4942,Dallachy,J.,John,8181,1850.0,1883.0,"Dallachy, J.","Dallachy, J.","Dallachy, J.",0.0,1.0,http://www.wikidata.org/entity/Q16065577,John Dallachy,Dallachy,J.,"Dallachy, J.",,,,,,,,P000040b,1803.0,1871.0,,
16,5618,Drummond,J.,James,6353,1829.0,1889.0,"Drummond, J.","Drummond, J.","Drummond, J.",0.0,1.0,http://www.wikidata.org/entity/Q2589989,James Drummond,Drummond,J.,"Drummond, J.",,30731252,,7553.0,2324-1,J.Drumm.,,P000373b,1787.0,1863.0,,
17,168,Albrecht,D.E.,David,6330,1958.0,2017.0,"Albrecht, D.E.","Albrecht, D.E.","Albrecht, D.E.",0.0,1.0,http://www.wikidata.org/entity/Q8354093,David Edward Albrecht,Albrecht,D.E.,"Albrecht, D.E.",,4256153184549027100009,,60179,14172-1,Albr.,,P005243b,1962.0,,,
20,4312,Corrick,M.G.,Margaret Georgina,5938,1956.0,2007.0,"Corrick, M.G.","Corrick, M.G.","Corrick, M.G.",0.0,1.0,http://www.wikidata.org/entity/Q21509106,Margaret Georgina Corrick,Corrick,M.G.,"Corrick, M.G.",,,,,12119-1,Corrick,,,1922.0,,,
26,10324,Jobson,P.C.,Peter,4329,1970.0,2015.0,"Jobson, P.C.","Jobson, P.C.","Jobson, P.C.",0.0,1.0,http://www.wikidata.org/entity/Q21391683,Peter C. Jobson,Jobson,P.C.,"Jobson, P.C.",,,,20908,38452-1,Jobson,,,1965.0,,,
31,6124,Entwisle,T.J.,Tim,3888,1980.0,2015.0,"Entwisle, T.J.","Entwisle, T.J.","Entwisle, T.J.",0.0,1.0,http://www.wikidata.org/entity/Q21512240,Timothy John Entwisle,Entwisle,T.J.,"Entwisle, T.J.",,93619302,0000 0000 7739 0319,66259.0,14571-1,Entwisle,,,1960.0,,,
32,20837,Wakefield,N.A.,,3702,1926.0,1989.0,"Wakefield, N.A.","Wakefield, N.A.","Wakefield, N.A.",0.0,1.0,http://www.wikidata.org/entity/Q7051918,Norman Arthur Wakefield,Wakefield,N.A.,"Wakefield, N.A.",,21877425,0000 0001 1044 2062,49120,11324-1,N.A.Wakef.,,,1918.0,1972.0,,
34,26843,Gates,G.M.,Genevieve,3524,1996.0,2019.0,"Gates, G.M.","Gates, G.M.","Gates, G.M.",0.0,1.0,http://www.wikidata.org/entity/Q36562288,Genevieve M. Gates,Gates,G.M.,"Gates, G.M.",,,,,20019488-1,G.M.Gates,,,,,,
37,21860,Williamson,H.B.,Herbert Bennett,3458,1828.0,1930.0,"Williamson, H.B.","Williamson, H.B.","Williamson, H.B.",0.0,1.0,http://www.wikidata.org/entity/Q20016691,Herbert Bennett Williamson,Williamson,H.B.,"Williamson, H.B.",,,,38662,11712-1,H.B.Will.,,P002763b,1860.0,1931.0,,
41,6676,Forbes,S.J.,,3399,1976.0,1991.0,"Forbes, S.J.","Forbes, S.J.","Forbes, S.J.",0.0,1.0,http://www.wikidata.org/entity/Q21513320,Stephen J. Forbes,Forbes,S.J.,"Forbes, S.J.",,,,,37432-1,S.J.Forbes,,,1953.0,,,
42,3631,Chippendale,G.M.,,3383,1951.0,1976.0,"Chippendale, G.M.","Chippendale, G.M.","Chippendale, G.M.",0.0,1.0,http://www.wikidata.org/entity/Q5537873,George McCartney Chippendale,Chippendale,G.M.,"Chippendale, G.M.",,8631458,0000 0000 8423 5309,18250.0,1601-1,Chippend.,Q5537873,P005133b,1921.0,2010.0,,
44,9632,Hosking,J.R.,John,3319,1977.0,2017.0,"Hosking, J.R.","Hosking, J.R.","Hosking, J.R.",0.0,1.0,http://www.wikidata.org/entity/Q21516084,John Robert Hosking,Hosking,J.R.,"Hosking, J.R.",,,,,39283-1,Hosking,,,1952.0,,,
