,family_name,initials_x,given_names,name,num_det,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,au_dict_bio,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
0,Jeanes,J.A.,Jeff,"Jeanes, J.A.",34366,"Jeanes, J.A.","Jeanes, J.A.",1.0,1.0,http://www.wikidata.org/entity/Q21395685,Jeffrey A. Jeanes,Jeanes,J.A.,"Jeanes, J.A.",,,,41963,39451-1,Jeanes,,,,,,,,http://www.wikidata.org/wiki/Q21395685,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41963,https://www.ipni.org/a/39451-1,,,
3,Beauglehole,A.C.,,"Beauglehole, A.C.",22342,"Beauglehole, A.C.","Beauglehole, A.C.",1.0,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,,1920.0,2002.0,,,http://www.wikidata.org/wiki/Q16744919,,,,https://bloodhound-tracker.net/Q16744919,http://www.eoas.info/biogs/P000214b,
5,Walsh,N.G.,Neville,"Walsh, N.G.",21075,"Walsh, N.G.","Walsh, N.G.",1.0,1.0,http://www.wikidata.org/entity/Q6041421,Neville Grant Walsh,Walsh,N.G.,"Walsh, N.G.",,18877199,0000 0000 6385 4733,,14171-1,N.G.Walsh,,P005329b,,1956.0,,,,http://www.wikidata.org/wiki/Q6041421,,,https://www.ipni.org/a/14171-1,,http://www.eoas.info/biogs/P005329b,
13,Thompson,I.R.,Ian,"Thompson, I.R.",8460,"Thompson, I.R.","Thompson, I.R.",1.0,1.0,http://www.wikidata.org/entity/Q21516217,Ian R. Thompson,Thompson,I.R.,"Thompson, I.R.",,,,,37433-1,I.Thomps.,,,,1958.0,,,,http://www.wikidata.org/wiki/Q21516217,,,https://www.ipni.org/a/37433-1,,,
21,Womersley,H.B.S.,,"Womersley, H.B.S.",5140,"Womersley, H.B.S.","Womersley, H.B.S.",1.0,1.0,http://www.wikidata.org/entity/Q21338083,Hugh Brian Spencer Womersley,Womersley,H.B.S.,"Womersley, H.B.S.",,119086888,0000 0000 8334 2006,70040.0,31820-1,Womersley,,P003504b,,1922.0,2011.0,,,http://www.wikidata.org/wiki/Q21338083,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70040,https://www.ipni.org/a/31820-1,,http://www.eoas.info/biogs/P003504b,
22,Entwisle,T.J.,Tim,"Entwisle, T.J.",5034,"Entwisle, T.J.","Entwisle, T.J.",1.0,1.0,http://www.wikidata.org/entity/Q21512240,Timothy John Entwisle,Entwisle,T.J.,"Entwisle, T.J.",,93619302,0000 0000 7739 0319,66259.0,14571-1,Entwisle,,,,1960.0,,,,http://www.wikidata.org/wiki/Q21512240,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=66259,https://www.ipni.org/a/14571-1,,,
23,Jones,D.L.,David Lloyd,"Jones, D.L.",4908,"Jones, D.L.","Jones, D.L.",1.0,1.0,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones,Jones,D.L.,"Jones, D.L.",,34558570,0000 0001 1053 0310,17797.0,4531-1,D.L.Jones,,,,1944.0,,,,http://www.wikidata.org/wiki/Q1175070,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17797,https://www.ipni.org/a/4531-1,,,
24,Duretto,M.F.,Marco,"Duretto, M.F.",4525,"Duretto, M.F.","Duretto, M.F.",1.0,1.0,http://www.wikidata.org/entity/Q5996322,Marco F. Duretto,Duretto,M.F.,"Duretto, M.F.",,,,63738,37683-1,Duretto,,,,1964.0,,,,http://www.wikidata.org/wiki/Q5996322,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63738,https://www.ipni.org/a/37683-1,,,
25,Forster,P.I.,Paul Irwin,"Forster, P.I.",4468,"Forster, P.I.","Forster, P.I.",1.0,1.0,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster,Forster,P.I.,"Forster, P.I.",,,,,18907-1,P.I.Forst.,,,,1961.0,,,,http://www.wikidata.org/wiki/Q9057027,,,https://www.ipni.org/a/18907-1,,,
28,Pedley,L.,Les,"Pedley, L.",4240,"Pedley, L.","Pedley, L.",1.0,1.0,http://www.wikidata.org/entity/Q4347893,Leslie Pedley,Pedley,L.,"Pedley, L.",,36029448,,,7460-1,Pedley,,P001460b,,1930.0,2018.0,,,http://www.wikidata.org/wiki/Q4347893,,,https://www.ipni.org/a/7460-1,,http://www.eoas.info/biogs/P001460b,
